rule_id,deskripsi,tipe,detail
1,Guru_1 tidak boleh mengajar hari Jumat,jadwal,guru=1;hari=Jumat
2,Mapel PJOK harus ditempatkan di jam terakhir hari Selasa,penempatan,mapel=9;hari=Selasa;slot_akhir=true
3,Bahasa Indonesia tidak boleh di hari Senin pertama,penempatan,mapel=1;hari=Senin;slot=1
4,Kelas 7 hanya boleh Informatika di hari Rabu,penempatan,mapel=11;kelas=7*;hari=Rabu
5,Matematika tidak boleh berturut-turut lebih dari 2 jam,urutan,mapel=3;max_beruntun=2
6,Guru_10 hanya mengajar maksimal 4 jam per hari,beban,guru=10;max_perhari=4
7,Seni Budaya harus di hari Kamis pagi,penempatan,mapel=8;hari=Kamis;slot<=3
8,Ekstrakurikuler hanya Jumat siang,penempatan,mapel=14;hari=Jumat;slot>=6
9,Bimbingan Konseling minimal sekali seminggu di semua kelas,kehadiran,mapel=13;min_perminggu=1
10,P5 tidak boleh di jam pertama,penempatan,mapel=15;slot!=1
