kelas,slot,mapel,guru
1,1,3,36
1,2,3,36
1,3,3,36
1,4,9,42
1,5,9,42
1,6,12,55
1,7,12,55
1,8,12,55
1,9,7,37
1,10,7,37
1,11,7,37
1,12,10,46
1,13,10,46
1,14,4,47
1,15,4,47
1,16,11,43
1,17,11,43
1,18,8,17
1,19,8,17
1,20,4,47
1,21,4,47
1,22,5,27
1,23,5,27
1,24,3,36
1,25,3,36
1,26,5,27
1,27,5,27
1,28,2,45
1,29,2,45
1,30,13,53
1,31,13,53
1,32,6,3
1,33,6,3
1,34,6,3
1,35,1,31
1,36,1,31
2,1,3,36
2,2,3,36
2,3,3,36
2,4,8,5
2,5,8,5
2,6,11,37
2,7,11,37
2,8,9,42
2,9,9,42
2,10,2,39
2,11,2,39
2,12,13,53
2,13,13,53
2,14,5,18
2,15,5,18
2,16,10,16
2,17,10,16
2,18,7,21
2,19,7,21
2,20,7,21
2,21,4,19
2,22,4,19
2,23,1,39
2,24,1,39
2,25,6,44
2,26,6,44
2,27,6,44
2,28,5,18
2,29,5,18
2,30,4,19
2,31,4,19
2,32,3,36
2,33,3,36
2,34,12,51
2,35,12,51
2,36,12,51
3,1,10,15
3,2,10,15
3,3,3,36
3,4,3,36
3,5,3,36
3,6,7,37
3,7,7,37
3,8,7,37
3,9,5,27
3,10,5,27
3,11,9,42
3,12,9,42
3,13,13,53
3,14,13,53
3,15,4,19
3,16,4,19
3,17,4,19
3,18,4,19
3,19,11,43
3,20,11,43
3,21,6,44
3,22,6,44
3,23,6,44
3,24,5,27
3,25,5,27
3,26,3,36
3,27,3,36
3,28,8,17
3,29,8,17
3,30,1,31
3,31,1,31
3,32,12,51
3,33,12,51
3,34,12,51
3,35,2,45
3,36,2,45
4,1,5,27
4,2,5,27
4,3,8,42
4,4,8,42
4,5,3,22
4,6,3,22
4,7,11,43
4,8,11,43
4,9,2,39
4,10,2,39
4,11,1,31
4,12,1,31
4,13,9,42
4,14,9,42
4,15,4,19
4,16,4,19
4,17,3,22
4,18,3,22
4,19,3,22
4,20,4,19
4,21,4,19
4,22,10,31
4,23,10,31
4,24,7,21
4,25,7,21
4,26,7,21
4,27,13,53
4,28,13,53
4,29,6,44
4,30,6,44
4,31,6,44
4,32,5,27
4,33,5,27
4,34,12,55
4,35,12,55
4,36,12,55
5,1,3,22
5,2,3,22
5,3,11,43
5,4,11,43
5,5,5,48
5,6,5,48
5,7,3,22
5,8,3,22
5,9,3,22
5,10,2,33
5,11,2,33
5,12,1,39
5,13,1,39
5,14,4,47
5,15,4,47
5,16,8,42
5,17,8,42
5,18,13,53
5,19,13,53
5,20,12,55
5,21,12,55
5,22,12,55
5,23,10,15
5,24,10,15
5,25,7,37
5,26,7,37
5,27,7,37
5,28,5,48
5,29,5,48
5,30,9,42
5,31,9,42
5,32,6,2
5,33,6,2
5,34,6,2
5,35,4,47
5,36,4,47
6,1,1,39
6,2,1,39
6,3,6,2
6,4,6,2
6,5,6,2
6,6,5,27
6,7,5,27
6,8,11,37
6,9,11,37
6,10,4,47
6,11,4,47
6,12,12,51
6,13,12,51
6,14,12,51
6,15,3,22
6,16,3,22
6,17,8,5
6,18,8,5
6,19,4,47
6,20,4,47
6,21,7,21
6,22,7,21
6,23,7,21
6,24,3,22
6,25,3,22
6,26,3,22
6,27,10,48
6,28,10,48
6,29,9,38
6,30,9,38
6,31,5,27
6,32,5,27
6,33,13,53
6,34,13,53
6,35,2,45
6,36,2,45
7,1,3,22
7,2,3,22
7,3,3,22
7,4,2,45
7,5,2,45
7,6,5,27
7,7,5,27
7,8,3,22
7,9,3,22
7,10,5,27
7,11,5,27
7,12,13,53
7,13,13,53
7,14,11,37
7,15,11,37
7,16,6,44
7,17,6,44
7,18,6,44
7,19,12,55
7,20,12,55
7,21,12,55
7,22,10,16
7,23,10,16
7,24,4,47
7,25,4,47
7,26,8,17
7,27,8,17
7,28,7,37
7,29,7,37
7,30,7,37
7,31,9,42
7,32,9,42
7,33,1,31
7,34,1,31
7,35,4,47
7,36,4,47
8,1,5,18
8,2,5,18
8,3,4,19
8,4,4,19
8,5,8,42
8,6,8,42
8,7,4,19
8,8,4,19
8,9,1,31
8,10,1,31
8,11,6,2
8,12,6,2
8,13,6,2
8,14,7,21
8,15,7,21
8,16,7,21
8,17,2,45
8,18,2,45
8,19,3,29
8,20,3,29
8,21,12,55
8,22,12,55
8,23,12,55
8,24,5,18
8,25,5,18
8,26,3,29
8,27,3,29
8,28,3,29
8,29,13,53
8,30,13,53
8,31,9,42
8,32,9,42
8,33,11,43
8,34,11,43
8,35,10,48
8,36,10,48
9,1,4,47
9,2,4,47
9,3,12,55
9,4,12,55
9,5,12,55
9,6,6,2
9,7,6,2
9,8,6,2
9,9,5,48
9,10,5,48
9,11,2,45
9,12,2,45
9,13,3,29
9,14,3,29
9,15,13,53
9,16,13,53
9,17,1,31
9,18,1,31
9,19,8,17
9,20,8,17
9,21,10,15
9,22,10,15
9,23,11,37
9,24,11,37
9,25,9,42
9,26,9,42
9,27,4,47
9,28,4,47
9,29,7,37
9,30,7,37
