kelas,slot,mapel,guru
1,1,4,47
1,2,4,47
1,3,11,43
1,4,11,43
1,5,8,42
1,6,8,42
1,7,5,27
1,8,5,27
1,9,3,36
1,10,3,36
1,11,3,36
1,12,13,53
1,13,13,53
1,14,9,38
1,15,9,38
1,16,12,51
1,17,12,51
1,18,12,51
1,19,2,33
1,20,2,33
1,21,4,47
1,22,4,47
1,23,7,37
1,24,7,37
1,25,7,37
1,26,10,46
1,27,10,46
1,28,6,3
1,29,6,3
1,30,6,3
1,31,3,36
1,32,3,36
1,33,1,31
1,34,1,31
1,35,5,27
1,36,5,27
2,1,4,19
2,2,4,19
2,3,1,39
2,4,1,39
2,5,8,17
2,6,8,17
2,7,6,44
2,8,6,44
2,9,6,44
2,10,7,37
2,11,7,37
2,12,7,37
2,13,9,42
2,14,9,42
2,15,12,51
2,16,12,51
2,17,12,51
2,18,5,48
2,19,5,48
2,20,11,43
2,21,11,43
2,22,10,47
2,23,10,47
2,24,2,39
2,25,2,39
2,26,3,36
2,27,3,36
2,28,3,36
2,29,4,19
2,30,4,19
2,31,13,53
2,32,13,53
2,33,3,36
2,34,3,36
2,35,5,48
2,36,5,48
3,1,8,42
3,2,8,42
3,3,4,47
3,4,4,47
3,5,6,3
3,6,6,3
3,7,6,3
3,8,5,18
3,9,5,18
3,10,13,53
3,11,13,53
3,12,4,47
3,13,4,47
3,14,9,42
3,15,9,42
3,16,10,28
3,17,10,28
3,18,3,22
3,19,3,22
3,20,7,37
3,21,7,37
3,22,7,37
3,23,12,51
3,24,12,51
3,25,12,51
3,26,2,39
3,27,2,39
3,28,3,22
3,29,3,22
3,30,3,22
3,31,5,18
3,32,5,18
3,33,1,39
3,34,1,39
3,35,11,43
3,36,11,43
4,1,2,33
4,2,2,33
4,3,12,51
4,4,12,51
4,5,12,51
4,6,5,18
4,7,5,18
4,8,5,18
4,9,5,18
4,10,11,37
4,11,11,37
4,12,3,29
4,13,3,29
4,14,9,42
4,15,9,42
4,16,1,39
4,17,1,39
4,18,4,19
4,19,4,19
4,20,6,3
4,21,6,3
4,22,6,3
4,23,13,53
4,24,13,53
4,25,8,17
4,26,8,17
4,27,4,19
4,28,4,19
4,29,10,16
4,30,10,16
4,31,7,21
4,32,7,21
4,33,7,21
4,34,3,29
4,35,3,29
4,36,3,29
5,1,11,37
5,2,11,37
5,3,4,19
5,4,4,19
5,5,12,51
5,6,12,51
5,7,12,51
5,8,4,19
5,9,4,19
5,10,9,38
5,11,9,38
5,12,8,42
5,13,8,42
5,14,1,39
5,15,1,39
5,16,7,37
5,17,7,37
5,18,7,37
5,19,6,44
5,20,6,44
5,21,6,44
5,22,5,27
5,23,5,27
5,24,2,45
5,25,2,45
5,26,3,36
5,27,3,36
5,28,5,27
5,29,5,27
5,30,3,36
5,31,3,36
5,32,3,36
5,33,10,16
5,34,10,16
5,35,13,53
5,36,13,53
6,1,5,18
6,2,5,18
6,3,2,33
6,4,2,33
6,5,4,47
6,6,4,47
6,7,10,16
6,8,10,16
6,9,13,53
6,10,13,53
6,11,1,39
6,12,1,39
6,13,7,37
6,14,7,37
6,15,7,37
6,16,11,37
6,17,11,37
6,18,3,22
6,19,3,22
6,20,4,47
6,21,4,47
6,22,9,38
6,23,9,38
6,24,6,44
6,25,6,44
6,26,6,44
6,27,5,18
6,28,5,18
6,29,3,22
6,30,3,22
6,31,3,22
6,32,12,55
6,33,12,55
6,34,12,55
6,35,8,17
6,36,8,17
7,1,10,48
7,2,10,48
7,3,4,19
7,4,4,19
7,5,2,45
7,6,2,45
7,7,6,2
7,8,6,2
7,9,6,2
7,10,4,19
7,11,4,19
7,12,13,53
7,13,13,53
7,14,7,37
7,15,7,37
7,16,7,37
7,17,5,27
7,18,5,27
7,19,8,23
7,20,8,23
7,21,11,43
7,22,11,43
7,23,5,27
7,24,5,27
7,25,12,51
7,26,12,51
7,27,12,51
7,28,3,22
7,29,3,22
7,30,3,22
7,31,9,38
7,32,9,38
7,33,1,31
7,34,1,31
7,35,3,22
7,36,3,22
8,1,3,22
8,2,3,22
8,3,1,39
8,4,1,39
8,5,3,22
8,6,3,22
8,7,3,22
8,8,8,5
8,9,8,5
8,10,10,15
8,11,10,15
8,12,6,2
8,13,6,2
8,14,6,2
8,15,5,48
8,16,5,48
8,17,2,39
8,18,2,39
8,19,12,55
8,20,12,55
8,21,12,55
8,22,4,19
8,23,4,19
8,24,5,48
8,25,5,48
8,26,9,42
8,27,9,42
8,28,11,37
8,29,11,37
8,30,7,37
8,31,7,37
8,32,7,37
8,33,4,19
8,34,4,19
8,35,13,53
8,36,13,53
9,1,7,21
9,2,7,21
9,3,7,21
9,4,4,19
9,5,4,19
9,6,6,44
9,7,6,44
9,8,6,44
9,9,5,27
9,10,5,27
9,11,4,19
9,12,4,19
9,13,3,36
9,14,3,36
9,15,3,36
9,16,2,39
9,17,2,39
9,18,8,42
9,19,8,42
9,20,3,36
9,21,3,36
9,22,5,27
9,23,5,27
9,24,10,15
9,25,10,15
9,26,12,51
9,27,12,51
9,28,12,51
9,29,11,43
9,30,11,43
