kelas,slot,mapel,guru
1,1,5,48
1,2,5,48
1,3,12,55
1,4,12,55
1,5,12,55
1,6,4,19
1,7,4,19
1,8,3,22
1,9,3,22
1,10,10,47
1,11,10,47
1,12,4,19
1,13,4,19
1,14,7,21
1,15,7,21
1,16,7,21
1,17,3,22
1,18,3,22
1,19,3,22
1,20,1,39
1,21,1,39
1,22,6,3
1,23,6,3
1,24,6,3
1,25,9,38
1,26,9,38
1,27,2,45
1,28,2,45
1,29,13,53
1,30,13,53
1,31,8,5
1,32,8,5
1,33,11,37
1,34,11,37
1,35,5,48
1,36,5,48
2,1,3,36
2,2,3,36
2,3,3,36
2,4,3,36
2,5,3,36
2,6,7,37
2,7,7,37
2,8,7,37
2,9,12,51
2,10,12,51
2,11,12,51
2,12,10,46
2,13,10,46
2,14,5,18
2,15,5,18
2,16,5,18
2,17,5,18
2,18,6,3
2,19,6,3
2,20,6,3
2,21,1,39
2,22,1,39
2,23,11,43
2,24,11,43
2,25,4,47
2,26,4,47
2,27,13,53
2,28,13,53
2,29,8,5
2,30,8,5
2,31,4,47
2,32,4,47
2,33,9,38
2,34,9,38
2,35,2,39
2,36,2,39
3,1,3,29
3,2,3,29
3,3,4,19
3,4,4,19
3,5,7,21
3,6,7,21
3,7,7,21
3,8,13,53
3,9,13,53
3,10,12,51
3,11,12,51
3,12,12,51
3,13,11,37
3,14,11,37
3,15,4,19
3,16,4,19
3,17,1,31
3,18,1,31
3,19,8,17
3,20,8,17
3,21,2,33
3,22,2,33
3,23,10,48
3,24,10,48
3,25,9,42
3,26,9,42
3,27,5,27
3,28,5,27
3,29,3,29
3,30,3,29
3,31,3,29
3,32,5,27
3,33,5,27
3,34,6,44
3,35,6,44
3,36,6,44
4,1,3,36
4,2,3,36
4,3,3,36
4,4,3,36
4,5,3,36
4,6,5,27
4,7,5,27
4,8,7,37
4,9,7,37
4,10,7,37
4,11,9,42
4,12,9,42
4,13,4,47
4,14,4,47
4,15,8,5
4,16,8,5
4,17,13,53
4,18,13,53
4,19,1,39
4,20,1,39
4,21,2,45
4,22,2,45
4,23,12,55
4,24,12,55
4,25,12,55
4,26,6,3
4,27,6,3
4,28,6,3
4,29,11,37
4,30,11,37
4,31,10,15
4,32,10,15
4,33,5,27
4,34,5,27
4,35,4,47
4,36,4,47
5,1,7,21
5,2,7,21
5,3,7,21
5,4,3,36
5,5,3,36
5,6,3,36
5,7,5,27
5,8,5,27
5,9,9,42
5,10,9,42
5,11,3,36
5,12,3,36
5,13,10,48
5,14,10,48
5,15,12,51
5,16,12,51
5,17,12,51
5,18,13,53
5,19,13,53
5,20,6,2
5,21,6,2
5,22,6,2
5,23,8,42
5,24,8,42
5,25,2,45
5,26,2,45
5,27,1,39
5,28,1,39
5,29,11,43
5,30,11,43
5,31,5,27
5,32,5,27
5,33,4,47
5,34,4,47
5,35,4,47
5,36,4,47
6,1,5,18
6,2,5,18
6,3,9,38
6,4,9,38
6,5,8,5
6,6,8,5
6,7,4,19
6,8,4,19
6,9,3,36
6,10,3,36
6,11,11,43
6,12,11,43
6,13,3,36
6,14,3,36
6,15,3,36
6,16,7,21
6,17,7,21
6,18,7,21
6,19,5,18
6,20,5,18
6,21,6,2
6,22,6,2
6,23,6,2
6,24,1,31
6,25,1,31
6,26,12,55
6,27,12,55
6,28,12,55
6,29,4,19
6,30,4,19
6,31,2,33
6,32,2,33
6,33,13,53
6,34,13,53
6,35,10,28
6,36,10,28
7,1,12,55
7,2,12,55
7,3,12,55
7,4,4,19
7,5,4,19
7,6,5,18
7,7,5,18
7,8,13,53
7,9,13,53
7,10,2,33
7,11,2,33
7,12,5,18
7,13,5,18
7,14,1,31
7,15,1,31
7,16,8,5
7,17,8,5
7,18,7,21
7,19,7,21
7,20,7,21
7,21,3,29
7,22,3,29
7,23,3,29
7,24,3,29
7,25,3,29
7,26,11,43
7,27,11,43
7,28,9,42
7,29,9,42
7,30,10,28
7,31,10,28
7,32,6,2
7,33,6,2
7,34,6,2
7,35,4,19
7,36,4,19
8,1,4,19
8,2,4,19
8,3,4,19
8,4,4,19
8,5,3,36
8,6,3,36
8,7,13,53
8,8,13,53
8,9,1,31
8,10,1,31
8,11,8,42
8,12,8,42
8,13,7,37
8,14,7,37
8,15,7,37
8,16,2,33
8,17,2,33
8,18,5,18
8,19,5,18
8,20,5,18
8,21,5,18
8,22,6,44
8,23,6,44
8,24,6,44
8,25,12,55
8,26,12,55
8,27,12,55
8,28,3,36
8,29,3,36
8,30,3,36
8,31,10,48
8,32,10,48
8,33,9,38
8,34,9,38
8,35,11,37
8,36,11,37
9,1,3,36
9,2,3,36
9,3,1,39
9,4,1,39
9,5,6,2
9,6,6,2
9,7,6,2
9,8,11,43
9,9,11,43
9,10,4,47
9,11,4,47
9,12,5,27
9,13,5,27
9,14,9,38
9,15,9,38
9,16,3,36
9,17,3,36
9,18,3,36
9,19,7,37
9,20,7,37
9,21,7,37
9,22,8,5
9,23,8,5
9,24,13,53
9,25,13,53
9,26,5,27
9,27,5,27
9,28,4,47
9,29,4,47
9,30,12,55
9,31,12,55
9,32,12,55
9,33,10,31
9,34,10,31
9,35,2,33
9,36,2,33
10,1,3,45
10,2,3,45
10,3,3,45
10,4,10,16
10,5,10,16
10,6,12,50
10,7,12,50
10,8,12,50
10,9,4,14
10,10,4,14
10,11,1,31
10,12,1,31
10,13,8,17
10,14,8,17
10,15,6,24
10,16,6,24
10,17,6,24
10,18,11,40
10,19,11,40
10,20,5,46
10,21,5,46
10,22,4,14
10,23,4,14
10,24,2,41
10,25,2,41
10,26,7,34
10,27,7,34
10,28,7,34
10,29,13,53
10,30,13,53
10,31,5,46
10,32,5,46
10,33,9,38
10,34,9,38
10,35,3,45
10,36,3,45
11,1,6,41
11,2,6,41
11,3,6,41
11,4,5,46
11,5,5,46
11,6,8,42
11,7,8,42
11,8,4,28
11,9,4,28
11,10,11,40
11,11,11,40
11,12,12,54
11,13,12,54
11,14,12,54
11,15,7,34
11,16,7,34
11,17,7,34
11,18,10,16
11,19,10,16
11,20,13,52
11,21,13,52
11,22,3,45
11,23,3,45
11,24,3,45
11,25,1,31
11,26,1,31
11,27,4,28
11,28,4,28
11,29,5,46
11,30,5,46
11,31,2,33
11,32,2,33
11,33,3,45
11,34,3,45
11,35,9,38
11,36,9,38
12,1,7,34
12,2,7,34
12,3,7,34
12,4,8,17
12,5,8,17
12,6,11,32
12,7,11,32
12,8,1,24
12,9,1,24
12,10,3,40
12,11,3,40
12,12,3,40
12,13,13,53
12,14,13,53
12,15,3,40
12,16,3,40
12,17,6,24
12,18,6,24
12,19,6,24
12,20,2,30
12,21,2,30
12,22,10,16
12,23,10,16
12,24,9,35
12,25,9,35
12,26,12,50
12,27,12,50
12,28,12,50
12,29,4,28
12,30,4,28
12,31,4,28
12,32,4,28
12,33,5,48
12,34,5,48
12,35,5,48
12,36,5,48
13,1,5,13
13,2,5,13
13,3,6,41
13,4,6,41
13,5,6,41
13,6,11,32
13,7,11,32
13,8,7,37
13,9,7,37
13,10,7,37
13,11,3,40
13,12,3,40
13,13,8,5
13,14,8,5
13,15,12,54
13,16,12,54
13,17,12,54
13,18,4,28
13,19,4,28
13,20,10,16
13,21,10,16
13,22,1,24
13,23,1,24
13,24,4,28
13,25,4,28
13,26,13,53
13,27,13,53
13,28,3,40
13,29,3,40
13,30,3,40
13,31,2,33
13,32,2,33
13,33,5,13
13,34,5,13
13,35,9,38
13,36,9,38
14,1,6,41
14,2,6,41
14,3,6,41
14,4,3,45
14,5,3,45
14,6,3,45
14,7,5,13
14,8,5,13
14,9,13,53
14,10,13,53
14,11,3,45
14,12,3,45
14,13,12,50
14,14,12,50
14,15,12,50
14,16,4,28
14,17,4,28
14,18,9,38
14,19,9,38
14,20,5,13
14,21,5,13
14,22,8,17
14,23,8,17
14,24,2,30
14,25,2,30
14,26,4,28
14,27,4,28
14,28,7,34
14,29,7,34
14,30,7,34
14,31,11,32
14,32,11,32
14,33,1,24
14,34,1,24
14,35,10,16
14,36,10,16
15,1,6,24
15,2,6,24
15,3,6,24
15,4,10,16
15,5,10,16
15,6,2,33
15,7,2,33
15,8,3,45
15,9,3,45
15,10,11,32
15,11,11,32
15,12,9,35
15,13,9,35
15,14,12,50
15,15,12,50
15,16,12,50
15,17,5,48
15,18,5,48
15,19,1,24
