kelas,slot,mapel,guru
1,1,4,47
1,2,4,47
1,3,5,18
1,4,5,18
1,5,9,38
1,6,9,38
1,7,5,18
1,8,5,18
1,9,7,37
1,10,7,37
1,11,7,37
1,12,3,36
1,13,3,36
1,14,3,36
1,15,8,42
1,16,8,42
1,17,3,36
1,18,3,36
1,19,10,16
1,20,10,16
1,21,4,47
1,22,4,47
1,23,2,45
1,24,2,45
1,25,11,37
1,26,11,37
1,27,12,55
1,28,12,55
1,29,12,55
1,30,13,53
1,31,13,53
1,32,6,3
1,33,6,3
1,34,6,3
1,35,1,31
1,36,1,31
2,1,2,45
2,2,2,45
2,3,12,51
2,4,12,51
2,5,12,51
2,6,5,48
2,7,5,48
2,8,6,2
2,9,6,2
2,10,6,2
2,11,13,53
2,12,13,53
2,13,11,43
2,14,11,43
2,15,10,47
2,16,10,47
2,17,4,47
2,18,4,47
2,19,1,39
2,20,1,39
2,21,9,38
2,22,9,38
2,23,8,23
2,24,8,23
2,25,3,29
2,26,3,29
2,27,3,29
2,28,3,29
2,29,3,29
2,30,7,37
2,31,7,37
2,32,7,37
2,33,4,47
2,34,4,47
2,35,5,48
2,36,5,48
3,1,3,29
3,2,3,29
3,3,8,17
3,4,8,17
3,5,10,46
3,6,10,46
3,7,3,29
3,8,3,29
3,9,3,29
3,10,1,31
3,11,1,31
3,12,2,45
3,13,2,45
3,14,13,53
3,15,13,53
3,16,4,47
3,17,4,47
3,18,9,42
3,19,9,42
3,20,5,48
3,21,5,48
3,22,12,55
3,23,12,55
3,24,12,55
3,25,7,37
3,26,7,37
3,27,7,37
3,28,11,37
3,29,11,37
3,30,4,47
3,31,4,47
3,32,5,48
3,33,5,48
3,34,6,3
3,35,6,3
3,36,6,3
4,1,11,43
4,2,11,43
4,3,5,18
4,4,5,18
4,5,6,3
4,6,6,3
4,7,6,3
4,8,10,16
4,9,10,16
4,10,3,36
4,11,3,36
4,12,2,39
4,13,2,39
4,14,4,19
4,15,4,19
4,16,12,55
4,17,12,55
4,18,12,55
4,19,5,18
4,20,5,18
4,21,8,42
4,22,8,42
4,23,9,38
4,24,9,38
4,25,7,21
4,26,7,21
4,27,7,21
4,28,1,39
4,29,1,39
4,30,4,19
4,31,4,19
4,32,13,53
4,33,13,53
4,34,3,36
4,35,3,36
4,36,3,36
5,1,4,19
5,2,4,19
5,3,4,19
5,4,4,19
5,5,3,22
5,6,3,22
5,7,3,22
5,8,5,18
5,9,5,18
5,10,7,21
5,11,7,21
5,12,7,21
5,13,3,22
5,14,3,22
5,15,5,18
5,16,5,18
5,17,1,39
5,18,1,39
5,19,9,42
5,20,9,42
5,21,2,39
5,22,2,39
5,23,8,17
5,24,8,17
5,25,6,2
5,26,6,2
5,27,6,2
5,28,10,46
5,29,10,46
5,30,11,37
5,31,11,37
5,32,13,53
5,33,13,53
5,34,12,51
5,35,12,51
5,36,12,51
6,1,3,29
6,2,3,29
6,3,12,55
6,4,12,55
6,5,12,55
6,6,7,37
6,7,7,37
6,8,7,37
6,9,6,44
6,10,6,44
6,11,6,44
6,12,9,38
6,13,9,38
6,14,2,33
6,15,2,33
6,16,10,31
6,17,10,31
6,18,5,27
6,19,5,27
6,20,8,42
6,21,8,42
6,22,3,29
6,23,3,29
6,24,3,29
6,25,5,27
6,26,5,27
6,27,1,31
6,28,1,31
6,29,4,47
6,30,4,47
6,31,4,47
6,32,4,47
6,33,13,53
6,34,13,53
6,35,11,43
6,36,11,43
7,1,1,39
7,2,1,39
7,3,2,33
7,4,2,33
7,5,7,37
7,6,7,37
7,7,7,37
7,8,8,17
7,9,8,17
7,10,5,27
7,11,5,27
7,12,6,44
7,13,6,44
7,14,6,44
7,15,5,27
7,16,5,27
7,17,12,51
7,18,12,51
7,19,12,51
7,20,11,37
7,21,11,37
7,22,13,53
7,23,13,53
7,24,3,29
7,25,3,29
7,26,4,47
7,27,4,47
7,28,3,29
7,29,3,29
7,30,3,29
7,31,9,42
7,32,9,42
7,33,4,47
7,34,4,47
7,35,10,31
7,36,10,31
8,1,2,33
8,2,2,33
8,3,5,18
8,4,5,18
8,5,12,55
8,6,12,55
8,7,12,55
8,8,4,47
8,9,4,47
8,10,11,37
8,11,11,37
8,12,4,47
8,13,4,47
8,14,5,18
8,15,5,18
8,16,8,23
8,17,8,23
8,18,10,31
8,19,10,31
8,20,3,22
8,21,3,22
8,22,3,22
8,23,3,22
8,24,3,22
8,25,1,39
8,26,1,39
8,27,6,2
8,28,6,2
8,29,6,2
8,30,9,42
8,31,9,42
8,32,7,37
8,33,7,37
8,34,7,37
8,35,13,53
8,36,13,53
9,1,10,31
9,2,10,31
9,3,5,48
9,4,5,48
9,5,1,39
9,6,1,39
9,7,13,53
9,8,13,53
9,9,3,22
9,10,3,22
9,11,3,22
9,12,8,23
9,13,8,23
9,14,6,44
9,15,6,44
9,16,6,44
9,17,4,47
9,18,4,47
9,19,2,39
9,20,2,39
9,21,5,48
9,22,5,48
9,23,4,47
9,24,4,47
9,25,7,21
9,26,7,21
9,27,7,21
9,28,3,22
9,29,3,22
9,30,11,37
