kelas,slot,mapel,guru
1,1,5,48
1,2,5,48
1,3,13,53
1,4,13,53
1,5,6,44
1,6,6,44
1,7,6,44
1,8,11,43
1,9,11,43
1,10,8,42
1,11,8,42
1,12,12,51
1,13,12,51
1,14,12,51
1,15,3,36
1,16,3,36
1,17,3,36
1,18,4,47
1,19,4,47
1,20,1,39
1,21,1,39
1,22,2,39
1,23,2,39
1,24,5,48
1,25,5,48
1,26,9,38
1,27,9,38
1,28,7,21
1,29,7,21
1,30,7,21
1,31,3,36
1,32,3,36
1,33,10,16
1,34,10,16
1,35,4,47
1,36,4,47
2,1,5,27
2,2,5,27
2,3,4,19
2,4,4,19
2,5,7,37
2,6,7,37
2,7,7,37
2,8,1,31
2,9,1,31
2,10,8,23
2,11,8,23
2,12,5,27
2,13,5,27
2,14,4,19
2,15,4,19
2,16,3,22
2,17,3,22
2,18,3,22
2,19,2,45
2,20,2,45
2,21,9,42
2,22,9,42
2,23,12,51
2,24,12,51
2,25,12,51
2,26,3,22
2,27,3,22
2,28,6,2
2,29,6,2
2,30,6,2
2,31,13,53
2,32,13,53
2,33,10,28
2,34,10,28
2,35,11,43
2,36,11,43
3,1,6,3
3,2,6,3
3,3,6,3
3,4,9,42
3,5,9,42
3,6,7,21
3,7,7,21
3,8,7,21
3,9,12,55
3,10,12,55
3,11,12,55
3,12,13,53
3,13,13,53
3,14,5,27
3,15,5,27
3,16,5,27
3,17,5,27
3,18,3,29
3,19,3,29
3,20,10,46
3,21,10,46
3,22,8,23
3,23,8,23
3,24,4,19
3,25,4,19
3,26,11,43
3,27,11,43
3,28,1,39
3,29,1,39
3,30,4,19
3,31,4,19
3,32,3,29
3,33,3,29
3,34,3,29
3,35,2,45
3,36,2,45
4,1,4,19
4,2,4,19
4,3,5,48
4,4,5,48
4,5,11,37
4,6,11,37
4,7,6,2
4,8,6,2
4,9,6,2
4,10,13,53
4,11,13,53
4,12,1,31
4,13,1,31
4,14,8,17
4,15,8,17
4,16,12,55
4,17,12,55
4,18,12,55
4,19,2,33
4,20,2,33
4,21,5,48
4,22,5,48
4,23,3,36
4,24,3,36
4,25,4,19
4,26,4,19
4,27,7,37
4,28,7,37
4,29,7,37
4,30,3,36
4,31,3,36
4,32,3,36
4,33,10,28
4,34,10,28
4,35,9,38
4,36,9,38
5,1,13,53
5,2,13,53
5,3,3,22
5,4,3,22
5,5,3,22
5,6,4,19
5,7,4,19
5,8,2,39
5,9,2,39
5,10,5,48
5,11,5,48
5,12,11,37
5,13,11,37
5,14,6,3
5,15,6,3
5,16,6,3
5,17,1,31
5,18,1,31
5,19,5,48
5,20,5,48
5,21,8,5
5,22,8,5
5,23,9,38
5,24,9,38
5,25,7,37
5,26,7,37
5,27,7,37
5,28,10,28
5,29,10,28
5,30,3,22
5,31,3,22
5,32,12,55
5,33,12,55
5,34,12,55
5,35,4,19
5,36,4,19
6,1,12,55
6,2,12,55
6,3,12,55
6,4,1,31
6,5,1,31
6,6,2,33
6,7,2,33
6,8,7,21
6,9,7,21
6,10,7,21
6,11,3,22
6,12,3,22
6,13,3,22
6,14,13,53
6,15,13,53
6,16,9,38
6,17,9,38
6,18,8,5
6,19,8,5
6,20,5,27
6,21,5,27
6,22,5,27
6,23,5,27
6,24,3,22
6,25,3,22
6,26,11,37
6,27,11,37
6,28,10,47
6,29,10,47
6,30,4,47
6,31,4,47
6,32,4,47
6,33,4,47
6,34,6,44
6,35,6,44
6,36,6,44
7,1,3,29
7,2,3,29
7,3,3,29
7,4,8,23
7,5,8,23
7,6,5,48
7,7,5,48
7,8,10,31
7,9,10,31
7,10,2,45
7,11,2,45
7,12,11,37
7,13,11,37
7,14,5,48
7,15,5,48
7,16,9,42
7,17,9,42
7,18,4,47
7,19,4,47
7,20,3,29
7,21,3,29
7,22,13,53
7,23,13,53
7,24,12,55
7,25,12,55
7,26,12,55
7,27,4,47
7,28,4,47
7,29,7,21
7,30,7,21
7,31,7,21
7,32,6,3
7,33,6,3
7,34,6,3
7,35,1,31
7,36,1,31
8,1,4,47
8,2,4,47
8,3,5,48
8,4,5,48
8,5,4,47
8,6,4,47
8,7,3,29
8,8,3,29
8,9,8,42
8,10,8,42
8,11,5,48
8,12,5,48
8,13,1,39
8,14,1,39
8,15,2,45
8,16,2,45
8,17,6,2
8,18,6,2
8,19,6,2
8,20,7,37
8,21,7,37
8,22,7,37
8,23,12,55
8,24,12,55
8,25,12,55
8,26,13,53
8,27,13,53
8,28,11,37
8,29,11,37
8,30,10,47
8,31,10,47
8,32,9,42
8,33,9,42
8,34,3,29
8,35,3,29
8,36,3,29
9,1,7,21
9,2,7,21
9,3,7,21
9,4,2,39
9,5,2,39
9,6,6,2
9,7,6,2
9,8,6,2
9,9,11,43
9,10,11,43
9,11,5,48
9,12,5,48
9,13,4,47
9,14,4,47
9,15,12,55
9,16,12,55
9,17,12,55
9,18,8,17
9,19,8,17
9,20,13,53
9,21,13,53
9,22,5,48
9,23,5,48
9,24,3,22
9,25,3,22
9,26,3,22
9,27,4,47
9,28,4,47
9,29,1,31
9,30,1,31
9,31,3,22
9,32,3,22
9,33,10,46
9,34,10,46
9,35,9,38
9,36,9,38
10,1,1,24
10,2,1,24
10,3,7,37
10,4,7,37
10,5,7,37
10,6,4,28
10,7,4,28
10,8,5,46
10,9,5,46
10,10,3,45
10,11,3,45
10,12,3,45
10,13,4,28
10,14,4,28
10,15,12,50
10,16,12,50
10,17,12,50
10,18,2,30
10,19,2,30
10,20,10,16
10,21,10,16
10,22,5,46
10,23,5,46
10,24,11,32
10,25,11,32
10,26,8,42
10,27,8,42
10,28,6,25
10,29,6,25
10,30,6,25
10,31,9,38
10,32,9,38
10,33,3,45
10,34,3,45
10,35,13,52
10,36,13,52
11,1,4,14
11,2,4,14
11,3,12,54
11,4,12,54
11,5,12,54
11,6,5,46
11,7,5,46
11,8,13,52
11,9,13,52
11,10,9,35
11,11,9,35
11,12,3,40
11,13,3,40
11,14,3,40
11,15,10,16
11,16,10,16
11,17,8,23
11,18,8,23
11,19,4,14
11,20,4,14
11,21,6,24
11,22,6,24
11,23,6,24
11,24,7,37
11,25,7,37
11,26,7,37
11,27,3,40
11,28,3,40
11,29,11,32
11,30,11,32
11,31,5,46
11,32,5,46
11,33,1,24
11,34,1,24
11,35,2,41
11,36,2,41
12,1,8,5
12,2,8,5
12,3,2,30
12,4,2,30
12,5,10,16
12,6,10,16
12,7,3,45
12,8,3,45
12,9,5,46
12,10,5,46
12,11,6,25
12,12,6,25
12,13,6,25
12,14,7,34
12,15,7,34
12,16,7,34
12,17,12,50
12,18,12,50
12,19,12,50
12,20,4,14
12,21,4,14
12,22,9,42
12,23,9,42
12,24,4,14
12,25,4,14
12,26,13,52
12,27,13,52
12,28,5,46
12,29,5,46
12,30,3,45
12,31,3,45
12,32,3,45
12,33,11,40
12,34,11,40
12,35,1,31
12,36,1,31
13,1,6,44
13,2,6,44
13,3,6,44
13,4,10,16
13,5,10,16
13,6,4,28
13,7,4,28
13,8,5,46
13,9,5,46
13,10,2,33
13,11,2,33
13,12,13,53
13,13,13,53
13,14,9,42
13,15,9,42
13,16,3,45
13,17,3,45
13,18,3,45
13,19,1,31
13,20,1,31
13,21,5,46
13,22,5,46
13,23,11,40
13,24,11,40
13,25,8,5
13,26,8,5
13,27,4,28
13,28,4,28
13,29,3,45
13,30,3,45
13,31,7,37
13,32,7,37
13,33,7,37
13,34,12,54
13,35,12,54
13,36,12,54
14,1,8,17
14,2,8,17
14,3,9,42
14,4,9,42
14,5,1,31
14,6,1,31
14,7,2,30
14,8,2,30
14,9,3,45
14,10,3,45
14,11,4,14
14,12,4,14
14,13,5,13
14,14,5,13
14,15,11,32
14,16,11,32
14,17,4,14
14,18,4,14
14,19,10,16
14,20,10,16
14,21,5,13
14,22,5,13
14,23,3,45
14,24,3,45
14,25,3,45
14,26,6,24
14,27,6,24
14,28,6,24
14,29,7,37
14,30,7,37
14,31,7,37
14,32,12,54
14,33,12,54
14,34,12,54
14,35,13,53
14,36,13,53
15,1,4,14
15,2,4,14
15,3,2,41
15,4,2,41
15,5,4,14
15,6,4,14
15,7,8,17
15,8,8,17
15,9,5,13
15,10,5,13
15,11,9,35
15,12,9,35
15,13,6,25
15,14,6,25
15,15,6,25
15,16,11,40
15,17,11,40
15,18,10,16
15,19,10,16
