kelas,slot,mapel,guru
1,1,12,55
1,2,12,55
1,3,12,55
1,4,10,15
1,5,10,15
1,6,5,27
1,7,5,27
1,8,5,27
1,9,5,27
1,10,11,43
1,11,11,43
1,12,8,42
1,13,8,42
1,14,6,3
1,15,6,3
1,16,6,3
1,17,3,36
1,18,3,36
1,19,3,36
1,20,1,39
1,21,1,39
1,22,4,47
1,23,4,47
1,24,7,37
1,25,7,37
1,26,7,37
1,27,3,36
1,28,3,36
1,29,13,53
1,30,13,53
1,31,4,47
1,32,4,47
1,33,2,39
1,34,2,39
1,35,9,42
1,36,9,42
2,1,13,53
2,2,13,53
2,3,5,18
2,4,5,18
2,5,3,29
2,6,3,29
2,7,4,19
2,8,4,19
2,9,11,37
2,10,11,37
2,11,12,55
2,12,12,55
2,13,12,55
2,14,10,28
2,15,10,28
2,16,1,39
2,17,1,39
2,18,3,29
2,19,3,29
2,20,3,29
2,21,9,38
2,22,9,38
2,23,2,45
2,24,2,45
2,25,7,37
2,26,7,37
2,27,7,37
2,28,5,18
2,29,5,18
2,30,8,42
2,31,8,42
2,32,4,19
2,33,4,19
2,34,6,2
2,35,6,2
2,36,6,2
3,1,3,36
3,2,3,36
3,3,4,19
3,4,4,19
3,5,9,38
3,6,9,38
3,7,6,3
3,8,6,3
3,9,6,3
3,10,1,39
3,11,1,39
3,12,8,17
3,13,8,17
3,14,10,31
3,15,10,31
3,16,5,27
3,17,5,27
3,18,3,36
3,19,3,36
3,20,3,36
3,21,4,19
3,22,4,19
3,23,2,45
3,24,2,45
3,25,13,53
3,26,13,53
3,27,11,37
3,28,11,37
3,29,12,55
3,30,12,55
3,31,12,55
3,32,5,27
3,33,5,27
3,34,7,21
3,35,7,21
3,36,7,21
4,1,5,18
4,2,5,18
4,3,12,55
4,4,12,55
4,5,12,55
4,6,10,31
4,7,10,31
4,8,2,33
4,9,2,33
4,10,11,43
4,11,11,43
4,12,9,42
4,13,9,42
4,14,8,23
4,15,8,23
4,16,4,19
4,17,4,19
4,18,3,22
4,19,3,22
4,20,3,22
4,21,5,18
4,22,5,18
4,23,4,19
4,24,4,19
4,25,6,3
4,26,6,3
4,27,6,3
4,28,1,31
4,29,1,31
4,30,3,22
4,31,3,22
4,32,13,53
4,33,13,53
4,34,7,21
4,35,7,21
4,36,7,21
5,1,7,21
5,2,7,21
5,3,7,21
5,4,11,43
5,5,11,43
5,6,4,19
5,7,4,19
5,8,1,31
5,9,1,31
5,10,4,19
5,11,4,19
5,12,8,23
5,13,8,23
5,14,5,18
5,15,5,18
5,16,13,53
5,17,13,53
5,18,3,29
5,19,3,29
5,20,12,55
5,21,12,55
5,22,12,55
5,23,10,15
5,24,10,15
5,25,6,2
5,26,6,2
5,27,6,2
5,28,2,39
5,29,2,39
5,30,9,42
5,31,9,42
5,32,5,18
5,33,5,18
5,34,3,29
5,35,3,29
5,36,3,29
6,1,8,23
6,2,8,23
6,3,11,43
6,4,11,43
6,5,13,53
6,6,13,53
6,7,9,42
6,8,9,42
6,9,12,55
6,10,12,55
6,11,12,55
6,12,1,31
6,13,1,31
6,14,2,45
6,15,2,45
6,16,7,21
6,17,7,21
6,18,7,21
6,19,10,15
6,20,10,15
6,21,3,22
6,22,3,22
6,23,6,2
6,24,6,2
6,25,6,2
6,26,4,19
6,27,4,19
6,28,5,18
6,29,5,18
6,30,3,22
6,31,3,22
6,32,3,22
6,33,5,18
6,34,5,18
6,35,4,19
6,36,4,19
7,1,4,47
7,2,4,47
7,3,8,17
7,4,8,17
7,5,7,37
7,6,7,37
7,7,7,37
7,8,1,39
7,9,1,39
7,10,3,22
7,11,3,22
7,12,11,37
7,13,11,37
7,14,9,38
7,15,9,38
7,16,10,28
7,17,10,28
7,18,2,45
7,19,2,45
7,20,3,22
7,21,3,22
7,22,3,22
7,23,6,2
7,24,6,2
7,25,6,2
7,26,13,53
7,27,13,53
7,28,4,47
7,29,4,47
7,30,12,51
7,31,12,51
7,32,12,51
7,33,5,48
7,34,5,48
7,35,5,48
7,36,5,48
8,1,8,17
8,2,8,17
8,3,9,42
8,4,9,42
8,5,13,53
8,6,13,53
8,7,5,27
8,8,5,27
8,9,2,39
8,10,2,39
8,11,4,47
8,12,4,47
8,13,1,31
8,14,1,31
8,15,12,51
8,16,12,51
8,17,12,51
8,18,10,31
8,19,10,31
8,20,7,37
8,21,7,37
8,22,7,37
8,23,5,27
8,24,5,27
8,25,6,44
8,26,6,44
8,27,6,44
8,28,3,22
8,29,3,22
8,30,3,22
8,31,4,47
8,32,4,47
8,33,3,22
8,34,3,22
8,35,11,37
8,36,11,37
9,1,3,29
9,2,3,29
