kelas,slot,mapel,guru
1,1,4,19
1,2,4,19
1,3,5,18
1,4,5,18
1,5,1,31
1,6,1,31
1,7,3,36
1,8,3,36
1,9,3,36
1,10,8,23
1,11,8,23
1,12,11,43
1,13,11,43
1,14,7,21
1,15,7,21
1,16,7,21
1,17,9,38
1,18,9,38
1,19,4,19
1,20,4,19
1,21,5,18
1,22,5,18
1,23,3,36
1,24,3,36
1,25,13,53
1,26,13,53
1,27,6,44
1,28,6,44
1,29,6,44
1,30,2,39
1,31,2,39
1,32,10,46
1,33,10,46
1,34,12,55
1,35,12,55
1,36,12,55
2,1,1,31
2,2,1,31
2,3,13,53
2,4,13,53
2,5,4,47
2,6,4,47
2,7,5,18
2,8,5,18
2,9,12,51
2,10,12,51
2,11,12,51
2,12,9,42
2,13,9,42
2,14,3,36
2,15,3,36
2,16,8,42
2,17,8,42
2,18,7,37
2,19,7,37
2,20,7,37
2,21,10,31
2,22,10,31
2,23,11,37
2,24,11,37
2,25,5,18
2,26,5,18
2,27,2,33
2,28,2,33
2,29,4,47
2,30,4,47
2,31,6,3
2,32,6,3
2,33,6,3
2,34,3,36
2,35,3,36
2,36,3,36
3,1,3,36
3,2,3,36
3,3,3,36
3,4,7,37
3,5,7,37
3,6,7,37
3,7,12,51
3,8,12,51
3,9,12,51
3,10,3,36
3,11,3,36
3,12,11,43
3,13,11,43
3,14,1,31
3,15,1,31
3,16,2,45
3,17,2,45
3,18,10,48
3,19,10,48
3,20,8,5
3,21,8,5
3,22,5,27
3,23,5,27
3,24,5,27
3,25,5,27
3,26,4,19
3,27,4,19
3,28,9,42
3,29,9,42
3,30,6,3
3,31,6,3
3,32,6,3
3,33,13,53
3,34,13,53
3,35,4,19
3,36,4,19
4,1,7,37
4,2,7,37
4,3,7,37
4,4,12,51
4,5,12,51
4,6,12,51
4,7,9,38
4,8,9,38
4,9,10,46
4,10,10,46
4,11,5,18
4,12,5,18
4,13,6,2
4,14,6,2
4,15,6,2
4,16,2,45
4,17,2,45
4,18,3,29
4,19,3,29
4,20,4,19
4,21,4,19
4,22,5,18
4,23,5,18
4,24,1,39
4,25,1,39
4,26,11,37
4,27,11,37
4,28,4,19
4,29,4,19
4,30,3,29
4,31,3,29
4,32,3,29
4,33,13,53
4,34,13,53
4,35,8,23
4,36,8,23
5,1,4,47
5,2,4,47
5,3,3,29
5,4,3,29
5,5,3,29
5,6,6,2
5,7,6,2
5,8,6,2
5,9,2,39
5,10,2,39
5,11,13,53
5,12,13,53
5,13,10,48
5,14,10,48
5,15,5,18
5,16,5,18
5,17,11,43
5,18,11,43
5,19,3,29
5,20,3,29
5,21,4,47
5,22,4,47
5,23,9,42
5,24,9,42
5,25,7,37
5,26,7,37
5,27,7,37
5,28,12,55
5,29,12,55
5,30,12,55
5,31,5,18
5,32,5,18
5,33,8,5
5,34,8,5
5,35,1,39
5,36,1,39
6,1,12,55
6,2,12,55
6,3,12,55
6,4,5,18
6,5,5,18
6,6,9,42
6,7,9,42
6,8,8,5
6,9,8,5
6,10,10,47
6,11,10,47
6,12,3,36
6,13,3,36
6,14,13,53
6,15,13,53
6,16,4,19
6,17,4,19
6,18,5,18
6,19,5,18
6,20,4,19
6,21,4,19
6,22,3,36
6,23,3,36
6,24,3,36
6,25,1,39
6,26,1,39
6,27,2,39
6,28,2,39
6,29,6,2
6,30,6,2
6,31,6,2
6,32,11,43
6,33,11,43
6,34,7,37
6,35,7,37
6,36,7,37
7,1,5,18
7,2,5,18
7,3,7,21
7,4,7,21
7,5,7,21
7,6,8,5
7,7,8,5
7,8,6,2
7,9,6,2
7,10,6,2
7,11,9,42
7,12,9,42
7,13,3,22
7,14,3,22
7,15,3,22
7,16,5,18
7,17,5,18
7,18,2,33
7,19,2,33
7,20,12,51
7,21,12,51
7,22,12,51
7,23,10,47
7,24,10,47
7,25,11,43
7,26,11,43
7,27,1,39
