kelas,slot,mapel,guru
1,1,12,55
1,2,12,55
1,3,12,55
1,4,2,39
1,5,2,39
1,6,9,42
1,7,9,42
1,8,10,16
1,9,10,16
1,10,5,18
1,11,5,18
1,12,7,21
1,13,7,21
1,14,7,21
1,15,13,53
1,16,13,53
1,17,4,19
1,18,4,19
1,19,1,39
1,20,1,39
1,21,3,29
1,22,3,29
1,23,3,29
1,24,4,19
1,25,4,19
1,26,6,3
1,27,6,3
1,28,6,3
1,29,5,18
1,30,5,18
1,31,3,29
1,32,3,29
1,33,11,37
1,34,11,37
1,35,8,5
1,36,8,5
2,1,4,47
2,2,4,47
2,3,6,44
2,4,6,44
2,5,6,44
2,6,11,37
2,7,11,37
2,8,1,31
2,9,1,31
2,10,3,29
2,11,3,29
2,12,3,29
2,13,5,27
2,14,5,27
2,15,10,47
2,16,10,47
2,17,4,47
2,18,4,47
2,19,8,42
2,20,8,42
2,21,2,39
2,22,2,39
2,23,12,55
2,24,12,55
2,25,12,55
2,26,3,29
2,27,3,29
2,28,7,37
2,29,7,37
2,30,7,37
2,31,5,27
2,32,5,27
2,33,13,53
2,34,13,53
2,35,9,42
2,36,9,42
3,1,10,48
3,2,10,48
3,3,12,51
3,4,12,51
3,5,12,51
3,6,5,48
3,7,5,48
3,8,13,53
3,9,13,53
3,10,6,44
3,11,6,44
3,12,6,44
3,13,9,42
3,14,9,42
3,15,5,48
3,16,5,48
3,17,11,43
3,18,11,43
3,19,3,29
3,20,3,29
3,21,3,29
3,22,4,47
3,23,4,47
3,24,3,29
3,25,3,29
3,26,2,45
3,27,2,45
3,28,7,21
3,29,7,21
3,30,7,21
3,31,8,5
3,32,8,5
3,33,4,47
3,34,4,47
3,35,1,31
3,36,1,31
4,1,9,38
4,2,9,38
4,3,3,29
4,4,3,29
4,5,3,29
4,6,6,44
4,7,6,44
4,8,6,44
4,9,1,39
4,10,1,39
4,11,4,19
4,12,4,19
4,13,13,53
4,14,13,53
4,15,5,18
4,16,5,18
4,17,7,21
4,18,7,21
4,19,7,21
4,20,3,29
4,21,3,29
4,22,11,43
4,23,11,43
4,24,10,28
4,25,10,28
4,26,8,17
4,27,8,17
4,28,2,45
4,29,2,45
4,30,5,18
4,31,5,18
4,32,4,19
4,33,4,19
4,34,12,51
4,35,12,51
4,36,12,51
5,1,12,51
5,2,12,51
5,3,12,51
5,4,7,37
5,5,7,37
5,6,7,37
5,7,5,27
5,8,5,27
5,9,9,38
5,10,9,38
5,11,4,47
5,12,4,47
5,13,8,5
5,14,8,5
5,15,13,53
5,16,13,53
5,17,3,36
5,18,3,36
5,19,4,47
5,20,4,47
5,21,1,31
5,22,1,31
5,23,11,43
5,24,11,43
5,25,6,44
5,26,6,44
5,27,6,44
5,28,5,27
5,29,5,27
5,30,10,46
5,31,10,46
5,32,2,33
5,33,2,33
5,34,3,36
5,35,3,36
5,36,3,36
6,1,12,51
6,2,12,51
6,3,12,51
6,4,2,33
6,5,2,33
6,6,13,53
6,7,13,53
6,8,1,31
6,9,1,31
6,10,3,22
6,11,3,22
6,12,9,42
6,13,9,42
6,14,6,3
6,15,6,3
6,16,6,3
6,17,4,47
6,18,4,47
6,19,5,18
6,20,5,18
6,21,7,37
6,22,7,37
6,23,7,37
6,24,11,43
6,25,11,43
6,26,3,22
6,27,3,22
6,28,3,22
6,29,10,16
6,30,10,16
6,31,5,18
6,32,5,18
6,33,8,42
6,34,8,42
6,35,4,47
6,36,4,47
7,1,5,27
7,2,5,27
7,3,4,19
7,4,4,19
7,5,3,29
7,6,3,29
7,7,10,28
7,8,10,28
7,9,4,19
7,10,4,19
7,11,9,38
7,12,9,38
7,13,7,37
7,14,7,37
7,15,7,37
7,16,1,39
7,17,1,39
7,18,8,42
7,19,8,42
7,20,11,43
7,21,11,43
7,22,2,33
7,23,2,33
7,24,13,53
7,25,13,53
7,26,6,3
7,27,6,3
7,28,6,3
7,29,12,51
7,30,12,51
7,31,12,51
7,32,3,29
7,33,3,29
7,34,3,29
7,35,5,27
7,36,5,27
8,1,12,51
8,2,12,51
8,3,12,51
8,4,7,21
8,5,7,21
8,6,7,21
8,7,9,42
8,8,9,42
8,9,11,43
8,10,11,43
8,11,3,36
8,12,3,36
8,13,2,33
8,14,2,33
8,15,1,31
8,16,1,31
8,17,5,27
8,18,5,27
8,19,10,47
8,20,10,47
8,21,4,19
8,22,4,19
8,23,3,36
8,24,3,36
8,25,3,36
8,26,8,17
8,27,8,17
8,28,13,53
8,29,13,53
8,30,5,27
8,31,5,27
8,32,6,2
8,33,6,2
8,34,6,2
8,35,4,19
8,36,4,19
9,1,8,23
9,2,8,23
