kelas,slot,mapel,guru
1,1,11,43
1,2,11,43
1,3,8,23
1,4,8,23
1,5,9,42
1,6,9,42
1,7,5,48
1,8,5,48
1,9,3,36
1,10,3,36
1,11,3,36
1,12,2,39
1,13,2,39
1,14,7,37
1,15,7,37
1,16,7,37
1,17,4,47
1,18,4,47
1,19,6,2
1,20,6,2
1,21,6,2
1,22,12,51
1,23,12,51
1,24,12,51
1,25,4,47
1,26,4,47
1,27,3,36
1,28,3,36
1,29,5,48
1,30,5,48
1,31,1,39
1,32,1,39
1,33,10,31
1,34,10,31
1,35,13,53
1,36,13,53
2,1,11,37
2,2,11,37
2,3,12,51
2,4,12,51
2,5,12,51
2,6,8,23
2,7,8,23
2,8,7,21
2,9,7,21
2,10,7,21
2,11,1,31
2,12,1,31
2,13,4,19
2,14,4,19
2,15,2,45
2,16,2,45
2,17,9,42
2,18,9,42
2,19,5,18
2,20,5,18
2,21,13,53
2,22,13,53
2,23,5,18
2,24,5,18
2,25,6,2
2,26,6,2
2,27,6,2
2,28,3,36
2,29,3,36
2,30,10,47
2,31,10,47
2,32,3,36
2,33,3,36
2,34,3,36
2,35,4,19
2,36,4,19
3,1,2,39
3,2,2,39
3,3,4,19
3,4,4,19
3,5,8,17
3,6,8,17
3,7,1,31
3,8,1,31
3,9,10,31
3,10,10,31
3,11,11,43
3,12,11,43
3,13,4,19
3,14,4,19
3,15,5,18
3,16,5,18
3,17,6,2
3,18,6,2
3,19,6,2
3,20,5,18
3,21,5,18
3,22,13,53
3,23,13,53
3,24,7,37
3,25,7,37
3,26,7,37
3,27,12,51
3,28,12,51
3,29,12,51
3,30,9,42
3,31,9,42
3,32,3,29
3,33,3,29
3,34,3,29
3,35,3,29
3,36,3,29
4,1,5,18
4,2,5,18
4,3,8,23
4,4,8,23
4,5,10,46
4,6,10,46
4,7,1,39
4,8,1,39
4,9,7,21
4,10,7,21
4,11,7,21
4,12,12,51
4,13,12,51
4,14,12,51
4,15,13,53
4,16,13,53
4,17,3,36
4,18,3,36
4,19,5,18
