kelas,slot,mapel,guru
1,1,3,22
1,2,3,22
1,3,13,53
1,4,13,53
1,5,4,47
1,6,4,47
1,7,3,22
1,8,3,22
1,9,3,22
1,10,7,21
1,11,7,21
1,12,7,21
1,13,5,48
1,14,5,48
1,15,2,39
1,16,2,39
1,17,10,31
1,18,10,31
1,19,9,42
1,20,9,42
1,21,8,5
1,22,8,5
1,23,5,48
1,24,5,48
1,25,4,47
1,26,4,47
1,27,11,43
1,28,11,43
1,29,6,44
1,30,6,44
1,31,6,44
1,32,12,51
1,33,12,51
1,34,12,51
1,35,1,39
1,36,1,39
2,1,13,53
2,2,13,53
2,3,9,38
2,4,9,38
2,5,5,48
2,6,5,48
2,7,2,33
2,8,2,33
2,9,10,28
2,10,10,28
2,11,8,5
2,12,8,5
2,13,4,47
2,14,4,47
2,15,6,3
2,16,6,3
2,17,6,3
2,18,1,39
2,19,1,39
2,20,12,55
2,21,12,55
2,22,12,55
2,23,3,36
2,24,3,36
2,25,3,36
2,26,11,37
2,27,11,37
2,28,3,36
2,29,3,36
2,30,7,37
2,31,7,37
2,32,7,37
2,33,4,47
2,34,4,47
2,35,5,48
2,36,5,48
3,1,2,33
3,2,2,33
3,3,3,22
3,4,3,22
3,5,3,22
3,6,10,15
3,7,10,15
3,8,6,2
3,9,6,2
3,10,6,2
3,11,13,53
3,12,13,53
3,13,5,48
3,14,5,48
3,15,4,19
3,16,4,19
3,17,5,48
3,18,5,48
3,19,12,51
3,20,12,51
3,21,12,51
3,22,7,37
3,23,7,37
3,24,7,37
3,25,11,37
3,26,11,37
3,27,8,42
3,28,8,42
3,29,1,31
3,30,1,31
3,31,9,38
3,32,9,38
3,33,3,22
3,34,3,22
3,35,4,19
3,36,4,19
4,1,7,37
4,2,7,37
4,3,7,37
4,4,4,19
4,5,4,19
4,6,8,23
4,7,8,23
4,8,6,3
4,9,6,3
4,10,6,3
4,11,3,29
4,12,3,29
4,13,3,29
4,14,11,43
4,15,11,43
4,16,2,33
4,17,2,33
4,18,1,39
4,19,1,39
4,20,12,55
4,21,12,55
4,22,12,55
4,23,9,42
4,24,9,42
4,25,13,53
4,26,13,53
4,27,4,19
4,28,4,19
4,29,3,29
4,30,3,29
4,31,5,27
4,32,5,27
4,33,10,31
4,34,10,31
4,35,5,27
4,36,5,27
5,1,12,51
5,2,12,51
5,3,12,51
5,4,4,19
5,5,4,19
5,6,9,42
5,7,9,42
5,8,13,53
5,9,13,53
5,10,3,22
5,11,3,22
5,12,3,22
5,13,1,31
5,14,1,31
5,15,4,19
5,16,4,19
5,17,3,22
5,18,3,22
5,19,5,48
5,20,5,48
5,21,8,17
5,22,8,17
5,23,5,48
5,24,5,48
5,25,2,33
5,26,2,33
5,27,11,43
5,28,11,43
5,29,10,16
5,30,10,16
5,31,6,2
5,32,6,2
5,33,6,2
5,34,7,21
5,35,7,21
5,36,7,21
6,1,3,36
6,2,3,36
6,3,7,37
6,4,7,37
6,5,7,37
6,6,11,43
6,7,11,43
6,8,9,38
6,9,9,38
6,10,6,3
6,11,6,3
6,12,6,3
6,13,8,17
6,14,8,17
6,15,5,18
6,16,5,18
6,17,3,36
6,18,3,36
6,19,3,36
6,20,2,45
6,21,2,45
6,22,10,31
6,23,10,31
6,24,4,47
6,25,4,47
6,26,1,39
6,27,1,39
6,28,13,53
6,29,13,53
6,30,4,47
6,31,4,47
6,32,12,55
6,33,12,55
6,34,12,55
6,35,5,18
6,36,5,18
7,1,10,28
7,2,10,28
7,3,3,36
7,4,3,36
7,5,3,36
7,6,6,44
7,7,6,44
7,8,6,44
7,9,1,31
7,10,1,31
7,11,12,51
7,12,12,51
7,13,12,51
7,14,5,27
7,15,5,27
7,16,2,33
7,17,2,33
7,18,13,53
7,19,13,53
7,20,11,37
7,21,11,37
7,22,4,19
7,23,4,19
7,24,9,42
7,25,9,42
7,26,7,21
7,27,7,21
7,28,7,21
7,29,5,27
7,30,5,27
7,31,3,36
7,32,3,36
7,33,4,19
7,34,4,19
7,35,8,5
7,36,8,5
8,1,4,19
8,2,4,19
8,3,8,5
8,4,8,5
8,5,2,45
8,6,2,45
8,7,3,29
8,8,3,29
8,9,3,29
8,10,9,42
8,11,9,42
8,12,11,37
8,13,11,37
8,14,1,31
8,15,1,31
8,16,5,18
8,17,5,18
8,18,10,15
8,19,10,15
8,20,4,19
8,21,4,19
8,22,12,51
8,23,12,51
8,24,12,51
8,25,6,2
8,26,6,2
8,27,6,2
8,28,13,53
8,29,13,53
8,30,3,29
8,31,3,29
8,32,7,37
8,33,7,37
8,34,7,37
8,35,5,18
8,36,5,18
9,1,12,51
9,2,12,51
9,3,12,51
9,4,1,31
9,5,1,31
9,6,10,16
9,7,10,16
9,8,5,48
9,9,5,48
9,10,2,39
9,11,2,39
9,12,9,42
9,13,9,42
9,14,4,19
9,15,4,19
9,16,7,37
9,17,7,37
9,18,7,37
9,19,3,36
9,20,3,36
9,21,3,36
9,22,6,44
9,23,6,44
9,24,6,44
9,25,3,36
9,26,3,36
9,27,8,17
9,28,8,17
9,29,4,19
9,30,4,19
9,31,11,37
9,32,11,37
9,33,5,48
9,34,5,48
9,35,13,53
9,36,13,53
10,1,13,52
10,2,13,52
10,3,12,50
10,4,12,50
10,5,12,50
10,6,9,42
10,7,9,42
10,8,4,14
10,9,4,14
10,10,6,24
10,11,6,24
10,12,6,24
10,13,7,37
10,14,7,37
10,15,7,37
10,16,3,40
10,17,3,40
10,18,10,16
10,19,10,16
10,20,11,32
10,21,11,32
10,22,5,48
10,23,5,48
10,24,3,40
10,25,3,40
10,26,3,40
10,27,1,24
10,28,1,24
10,29,2,33
10,30,2,33
10,31,5,48
10,32,5,48
10,33,8,42
10,34,8,42
10,35,4,14
10,36,4,14
11,1,6,41
11,2,6,41
11,3,6,41
11,4,10,16
11,5,10,16
11,6,5,48
11,7,5,48
11,8,3,45
11,9,3,45
11,10,5,48
11,11,5,48
11,12,1,31
11,13,1,31
11,14,9,35
11,15,9,35
11,16,7,34
11,17,7,34
11,18,7,34
11,19,11,40
11,20,11,40
11,21,13,52
11,22,13,52
11,23,4,28
11,24,4,28
11,25,2,30
11,26,2,30
11,27,3,45
11,28,3,45
11,29,3,45
11,30,8,23
11,31,8,23
11,32,12,50
11,33,12,50
11,34,12,50
11,35,4,28
11,36,4,28
12,1,7,37
12,2,7,37
12,3,7,37
12,4,4,14
12,5,4,14
12,6,6,41
12,7,6,41
12,8,6,41
12,9,5,46
12,10,5,46
12,11,10,16
12,12,10,16
12,13,3,40
12,14,3,40
12,15,5,46
12,16,5,46
12,17,3,40
12,18,3,40
12,19,3,40
12,20,4,14
12,21,4,14
12,22,8,42
12,23,8,42
12,24,13,52
12,25,13,52
12,26,1,24
12,27,1,24
12,28,12,50
12,29,12,50
12,30,12,50
12,31,11,40
12,32,11,40
12,33,9,35
12,34,9,35
12,35,2,30
12,36,2,30
13,1,9,38
13,2,9,38
13,3,4,14
13,4,4,14
13,5,6,41
13,6,6,41
13,7,6,41
13,8,5,48
13,9,5,48
13,10,11,32
13,11,11,32
13,12,3,40
13,13,3,40
13,14,7,37
13,15,7,37
13,16,7,37
13,17,8,42
13,18,8,42
13,19,5,48
13,20,5,48
13,21,2,33
13,22,2,33
13,23,12,50
13,24,12,50
13,25,12,50
13,26,1,24
13,27,1,24
13,28,3,40
13,29,3,40
13,30,3,40
13,31,4,14
13,32,4,14
13,33,10,16
13,34,10,16
13,35,13,53
13,36,13,53
14,1,3,45
14,2,3,45
14,3,3,45
14,4,1,31
14,5,1,31
14,6,5,46
14,7,5,46
14,8,7,37
14,9,7,37
14,10,7,37
14,11,4,28
14,12,4,28
14,13,12,50
14,14,12,50
14,15,12,50
14,16,10,16
14,17,10,16
14,18,8,23
14,19,8,23
14,20,11,40
14,21,11,40
14,22,5,46
14,23,5,46
14,24,9,35
14,25,9,35
14,26,3,45
14,27,3,45
14,28,2,30
14,29,2,30
14,30,13,53
14,31,13,53
14,32,6,44
14,33,6,44
14,34,6,44
14,35,4,28
14,36,4,28
15,1,6,41
15,2,6,41
15,3,6,41
15,4,13,53
15,5,13,53
15,6,1,31
15,7,1,31
15,8,2,30
15,9,2,30
15,10,7,34
15,11,7,34
15,12,7,34
15,13,12,50
15,14,12,50
15,15,12,50
15,16,5,48
15,17,5,48
15,18,11,40
15,19,11,40
15,20,8,42
15,21,8,42
15,22,3,45
15,23,3,45
15,24,3,45
15,25,9,35
15,26,9,35
15,27,5,48
15,28,5,48
15,29,4,14
15,30,4,14
15,31,10,16
15,32,10,16
15,33,3,45
15,34,3,45
15,35,4,14
15,36,4,14
16,1,7,34
16,2,7,34
16,3,7,34
16,4,6,41
16,5,6,41
16,6,6,41
16,7,3,45
16,8,3,45
16,9,9,38
16,10,9,38
16,11,8,17
16,12,8,17
16,13,4,28
16,14,4,28
16,15,12,50
16,16,12,50
16,17,12,50
16,18,4,28
16,19,4,28
16,20,5,13
16,21,5,13
16,22,2,41
16,23,2,41
16,24,1,24
16,25,1,24
16,26,5,13
16,27,5,13
16,28,13,52
16,29,13,52
16,30,11,40
16,31,11,40
16,32,3,45
16,33,3,45
16,34,3,45
16,35,10,16
16,36,10,16
17,1,13,52
17,2,13,52
17,3,5,46
17,4,5,46
17,5,5,46
17,6,5,46
17,7,8,5
17,8,8,5
17,9,10,16
17,10,10,16
17,11,4,28
17,12,4,28
17,13,6,24
17,14,6,24
17,15,6,24
17,16,12,50
17,17,12,50
17,18,12,50
17,19,3,40
17,20,3,40
17,21,3,40
17,22,3,40
17,23,3,40
17,24,7,34
17,25,7,34
17,26,7,34
17,27,4,28
17,28,4,28
17,29,2,30
17,30,2,30
17,31,1,31
17,32,1,31
17,33,9,35
17,34,9,35
17,35,11,40
17,36,11,40
18,1,12,54
18,2,12,54
18,3,12,54
18,4,1,31
18,5,1,31
18,6,2,30
18,7,2,30
18,8,4,14
18,9,4,14
18,10,10,16
18,11,10,16
18,12,11,40
18,13,11,40
18,14,3,45
18,15,3,45
18,16,3,45
18,17,5,46
18,18,5,46
18,19,9,38
18,20,9,38
18,21,5,46
18,22,5,46
18,23,3,45
18,24,3,45
18,25,8,17
18,26,8,17
18,27,4,14
18,28,4,14
18,29,6,25
18,30,6,25
18,31,6,25
18,32,7,34
18,33,7,34
18,34,7,34
18,35,13,52
18,36,13,52
19,1,5,8
19,2,5,8
19,3,5,8
19,4,5,8
19,5,8,17
19,6,8,17
19,7,13,52
19,8,13,52
19,9,4,28
19,10,4,28
19,11,11,32
19,12,11,32
19,13,2,34
19,14,2,34
19,15,6,9
19,16,6,9
19,17,6,9
19,18,10,15
19,19,10,15
19,20,12,54
19,21,12,54
19,22,12,54
19,23,3,20
19,24,3,20
19,25,3,20
19,26,4,28
19,27,4,28
19,28,9,35
19,29,9,35
19,30,7,4
19,31,7,4
19,32,7,4
19,33,3,20
19,34,3,20
19,35,1,26
19,36,1,26
20,1,12,54
20,2,12,54
20,3,12,54
20,4,5,8
20,5,5,8
20,6,7,7
20,7,7,7
20,8,7,7
20,9,5,8
20,10,5,8
20,11,4,11
20,12,4,11
20,13,1,26
20,14,1,26
20,15,2,10
20,16,2,10
20,17,11,32
20,18,11,32
20,19,3,20
20,20,3,20
20,21,9,35
20,22,9,35
20,23,8,23
20,24,8,23
20,25,3,20
20,26,3,20
20,27,3,20
20,28,4,11
20,29,4,11
20,30,13,52
20,31,13,52
20,32,6,3
20,33,6,3
20,34,6,3
20,35,10,15
20,36,10,15
21,1,1,26
21,2,1,26
21,3,8,17
21,4,8,17
21,5,2,34
21,6,2,34
21,7,3,22
21,8,3,22
21,9,3,22
21,10,5,8
21,11,5,8
21,12,4,12
21,13,4,12
21,14,11,32
21,15,11,32
21,16,6,3
21,17,6,3
21,18,6,3
21,19,12,54
21,20,12,54
21,21,12,54
21,22,10,15
21,23,10,15
21,24,3,22
21,25,3,22
21,26,9,35
21,27,9,35
21,28,13,52
21,29,13,52
21,30,5,8
21,31,5,8
21,32,4,12
21,33,4,12
21,34,7,4
21,35,7,4
21,36,7,4
22,1,5,8
22,2,5,8
22,3,9,35
22,4,9,35
22,5,4,12
22,6,4,12
22,7,3,20
22,8,3,20
22,9,3,20
22,10,6,9
22,11,6,9
22,12,6,9
22,13,1,26
22,14,1,26
22,15,13,52
22,16,13,52
22,17,12,49
22,18,12,49
22,19,12,49
22,20,8,17
22,21,8,17
22,22,10,15
22,23,10,15
22,24,11,32
22,25,11,32
22,26,5,8
22,27,5,8
22,28,4,12
22,29,4,12
22,30,7,4
22,31,7,4
22,32,7,4
22,33,2,34
22,34,2,34
22,35,3,20
22,36,3,20
23,1,3,20
23,2,3,20
23,3,3,20
23,4,11,32
23,5,11,32
23,6,4,12
23,7,4,12
23,8,7,25
23,9,7,25
23,10,7,25
23,11,12,54
23,12,12,54
23,13,12,54
23,14,5,27
23,15,5,27
23,16,5,27
23,17,5,27
23,18,2,34
23,19,2,34
23,20,1,26
23,21,1,26
23,22,8,17
23,23,8,17
23,24,9,35
23,25,9,35
23,26,3,20
23,27,3,20
23,28,4,12
23,29,4,12
23,30,6,9
23,31,6,9
23,32,6,9
23,33,10,15
23,34,10,15
23,35,13,52
23,36,13,52
24,1,3,22
24,2,3,22
24,3,3,22
24,4,4,28
24,5,4,28
24,6,13,52
24,7,13,52
24,8,11,32
24,9,11,32
