iterasi,method,best,avg
0,GA,20285,21827.6
1,GA,18775,20988.6
2,GA,18475,19810.6
3,GA,18395,19028.6
4,GA,18315,18835.5
5,GA,18305,18388.0
6,GA,18145,18320.5
7,GA,17995,18254.4
8,GA,17905,18106.2
9,GA,17735,17967.9
10,GA,17735,17848.9
11,GA,17575,17771.2
12,GA,17405,17660.0
13,GA,17405,17528.8
14,GA,17325,17438.2
15,GA,17245,17378.4
16,GA,17085,17289.7
17,GA,17005,17147.0
18,GA,16845,17054.9
19,GA,16845,16974.3
20,GA,16765,16881.2
21,GA,16675,16809.8
22,GA,16515,16712.2
23,GA,16340,16589.7
24,GA,16250,16456.7
25,GA,16080,16301.5
26,GA,16060,16186.2
27,GA,15920,16099.3
28,GA,15910,16018.8
29,GA,15820,15939.6
30,GA,15740,15908.9
31,GA,15740,15836.4
32,GA,15655,15775.1
33,GA,15555,15722.2
34,GA,15435,15624.3
35,GA,15425,15533.0
36,GA,15345,15462.0
37,GA,15275,15397.9
38,GA,15125,15328.6
39,GA,15025,15203.0
40,GA,14945,15097.8
41,GA,14785,15015.3
42,GA,14785,14914.6
43,GA,14695,14822.9
44,GA,14605,14755.7
45,GA,14605,14670.1
46,GA,14515,14617.3
47,GA,14475,14584.3
48,GA,14425,14536.0
49,GA,14385,14481.8
50,GA,14285,14422.2
51,GA,14205,14320.0
52,GA,14145,14266.6
53,GA,14105,14214.7
54,GA,13945,14154.2
55,GA,13945,14061.0
56,GA,13865,13974.4
57,GA,13805,13931.5
58,GA,13785,13868.0
59,GA,13695,13828.2
60,GA,13695,13762.8
61,GA,13615,13711.9
62,GA,13525,13683.7
63,GA,13435,13601.7
64,GA,13355,13513.5
65,GA,13355,13440.1
66,GA,13275,13391.5
67,GA,13245,13330.1
68,GA,13185,13296.8
69,GA,13085,13244.2
70,GA,13075,13181.0
71,GA,12995,13098.3
72,GA,12975,13076.4
73,GA,12905,13033.8
74,GA,12825,12963.8
75,GA,12735,12898.9
76,GA,12735,12837.5
77,GA,12575,12754.6
78,GA,12575,12706.2
79,GA,12485,12604.2
80,GA,12410,12559.0
81,GA,12325,12474.5
82,GA,12240,12417.7
83,GA,12160,12354.9
84,GA,12140,12246.6
85,GA,12140,12192.7
86,GA,12060,12160.6
87,GA,12050,12122.5
