iterasi,method,best,avg
0,GA,14730,16936.65
1,GA,11960,13838.25
2,GA,10155,11580.05
3,GA,9485,10205.45
4,GA,9040,9496.15
5,GA,8480,9071.2
6,GA,8220,8627.25
7,GA,8135,8410.0
8,GA,7815,8249.7
9,GA,7595,8034.45
10,GA,7525,7910.1
11,GA,7345,7747.0
12,GA,7180,7598.6
13,GA,7115,7447.05
14,GA,7060,7339.3
15,GA,6955,7198.25
16,GA,6885,7124.55
17,GA,6825,7044.45
18,GA,6740,6985.75
19,GA,6610,6866.15
20,GA,6520,6807.3
21,GA,6500,6714.75
22,GA,6355,6626.7
23,GA,6330,6511.1
24,GA,6230,6466.95
25,GA,6185,6389.5
26,GA,6105,6325.1
27,GA,5885,6246.0
28,GA,5745,6090.05
29,GA,5735,5908.85
30,GA,5590,5825.5
31,GA,5540,5752.95
32,GA,5505,5646.75
33,GA,5450,5634.45
34,GA,5450,5579.25
35,GA,5425,5565.25
36,GA,5345,5527.35
37,GA,5250,5478.1
38,GA,5170,5379.15
39,GA,5070,5303.15
40,GA,5060,5226.4
41,GA,4950,5154.85
42,GA,4845,5096.15
43,GA,4735,5015.4
44,GA,4655,4918.15
45,GA,4635,4789.85
46,GA,4555,4722.25
47,GA,4460,4686.85
48,GA,4460,4630.8
49,GA,4445,4565.5
50,GA,4435,4534.7
51,GA,4340,4514.8
52,GA,4245,4460.35
53,GA,4235,4388.95
54,GA,4140,4327.35
55,GA,4130,4247.0
56,GA,4110,4209.45
57,GA,4040,4191.55
58,GA,4010,4167.55
59,GA,3985,4112.4
60,GA,3945,4098.35
61,GA,3945,4062.5
62,GA,3895,4050.6
63,GA,3885,4016.2
64,GA,3865,3960.25
65,GA,3865,3963.35
66,GA,3845,3934.1
67,GA,3835,3936.55
68,GA,3815,3925.4
69,GA,3810,3900.45
70,GA,3805,3891.3
71,GA,3790,3893.85
72,GA,3695,3843.0
73,GA,3675,3842.55
74,GA,3595,3785.65
75,GA,3595,3728.0
76,GA,3585,3664.6
77,GA,3545,3669.5
78,GA,3540,3643.6
79,GA,3525,3610.7
80,GA,3495,3618.7
81,GA,3480,3577.95
82,GA,3460,3560.35
83,GA,3355,3536.2
84,GA,3355,3529.9
85,GA,3340,3445.0
86,GA,3335,3417.3
87,GA,3330,3409.15
88,GA,3325,3404.5
89,GA,3305,3404.3
90,GA,3285,3384.35
91,GA,3275,3376.3
92,GA,3260,3362.2
93,GA,3230,3337.05
94,GA,3205,3317.75
95,GA,3180,3292.0
96,GA,3175,3276.7
97,GA,3165,3234.9
98,GA,3160,3247.0
99,GA,3110,3223.45
100,GA,3105,3203.85
101,GA,3085,3186.25
102,GA,3080,3166.9
103,GA,3020,3161.75
104,GA,3000,3138.35
105,GA,3000,3093.0
106,GA,2995,3088.55
107,GA,2975,3075.65
108,GA,2975,3061.3
109,GA,2970,3049.8
110,GA,2965,3042.75
111,GA,2945,3034.1
112,GA,2935,3034.4
113,GA,2935,3023.6
114,GA,2915,3015.5
115,GA,2915,3007.85
116,GA,2910,3001.3
117,GA,2900,2999.1
118,GA,2880,2978.75
119,GA,2880,2966.05
120,GA,2860,2954.45
121,GA,2860,2939.15
122,GA,2855,2937.2
123,GA,2850,2954.65
124,GA,2850,2935.05
125,GA,2850,2923.7
126,GA,2845,2918.9
127,GA,2840,2930.0
128,GA,2835,2920.6
129,GA,2830,2912.2
130,GA,2830,2900.7
131,GA,2820,2905.1
132,GA,2820,2892.7
133,GA,2815,2883.4
134,GA,2800,2886.6
135,GA,2795,2890.0
136,GA,2780,2875.25
137,GA,2775,2856.85
138,GA,2770,2849.3
139,GA,2755,2831.2
140,GA,2750,2845.35
141,GA,2750,2834.5
142,GA,2750,2823.0
143,GA,2730,2821.45
144,GA,2730,2831.5
145,GA,2730,2811.85
146,GA,2690,2805.9
147,GA,2690,2791.55
148,GA,2680,2766.85
149,GA,2680,2778.6
150,GA,2660,2757.8
151,GA,2640,2747.2
152,GA,2630,2724.6
153,GA,2610,2714.4
154,GA,2610,2693.15
155,GA,2600,2678.05
156,GA,2600,2699.3
157,GA,2600,2667.3
158,GA,2600,2685.55
159,GA,2595,2658.4
160,GA,2590,2664.2
161,GA,2580,2667.65
162,GA,2580,2663.1
163,GA,2580,2656.25
164,GA,2550,2655.55
165,GA,2550,2646.0
166,GA,2530,2624.75
167,GA,2520,2618.05
168,GA,2510,2603.65
169,GA,2510,2584.8
170,GA,2500,2582.35
171,GA,2500,2595.95
172,GA,2500,2569.55
173,GA,2500,2568.4
174,GA,2500,2576.0
175,GA,2500,2575.05
176,GA,2500,2571.5
177,GA,2480,2574.35
178,GA,2480,2554.2
179,GA,2460,2543.6
180,GA,2420,2525.6
181,GA,2420,2525.05
182,GA,2420,2514.2
183,GA,2400,2486.6
184,GA,2400,2488.75
185,GA,2390,2473.55
186,GA,2390,2464.5
187,GA,2390,2464.7
188,GA,2390,2463.5
189,GA,2385,2467.95
190,GA,2370,2468.3
191,GA,2365,2456.25
192,GA,2360,2439.55
193,GA,2360,2438.4
194,GA,2360,2435.95
195,GA,2360,2421.45
196,GA,2360,2419.7
197,GA,2360,2433.05
198,GA,2355,2437.1
199,GA,2355,2425.0
200,GA,2335,2432.7
201,GA,2330,2422.9
202,GA,2320,2410.95
203,GA,2305,2389.65
204,GA,2290,2393.2
205,GA,2270,2370.0
206,GA,2250,2366.0
207,GA,2250,2347.85
208,GA,2245,2317.65
209,GA,2245,2311.15
210,GA,2225,2312.05
211,GA,2225,2312.65
212,GA,2225,2301.2
213,GA,2225,2285.05
214,GA,2225,2292.65
215,GA,2210,2286.1
216,GA,2210,2295.05
217,GA,2210,2273.7
218,GA,2190,2290.95
219,GA,2190,2271.5
220,GA,2190,2269.25
221,GA,2185,2247.75
222,GA,2170,2252.15
223,GA,2165,2250.1
224,GA,2165,2246.6
225,GA,2165,2254.05
226,GA,2165,2246.35
227,GA,2145,2243.7
228,GA,2145,2233.55
229,GA,2125,2225.8
230,GA,2125,2220.8
231,GA,2125,2215.7
232,GA,2105,2204.8
233,GA,2100,2177.85
234,GA,2100,2177.2
235,GA,2095,2169.1
236,GA,2095,2177.1
237,GA,2095,2148.6
238,GA,2095,2189.9
239,GA,2095,2171.15
240,GA,2095,2174.0
241,GA,2095,2161.25
242,GA,2095,2168.05
243,GA,2095,2155.25
244,GA,2075,2162.5
245,GA,2075,2166.75
246,GA,2075,2147.95
247,GA,2075,2144.6
248,GA,2075,2153.3
249,GA,2075,2146.6
250,GA,2075,2151.1
251,GA,2075,2144.55
252,GA,2060,2144.45
253,GA,2060,2163.1
254,GA,2055,2135.5
255,GA,2055,2134.15
256,GA,2050,2123.7
257,GA,2050,2130.9
258,GA,2030,2117.05
259,GA,2030,2122.8
260,GA,2030,2123.9
261,GA,2030,2101.75
262,GA,2030,2101.4
263,GA,2010,2101.2
264,GA,2010,2105.4
265,GA,2010,2063.45
266,GA,2010,2096.45
267,GA,2010,2086.05
268,GA,1990,2081.2
269,GA,1990,2069.05
270,GA,1970,2065.35
271,GA,1970,2059.2
272,GA,1970,2042.65
273,GA,1970,2049.15
274,GA,1970,2034.15
275,GA,1965,2044.8
276,GA,1965,2052.45
