iterasi,method,best,avg
0,GA,16270,17807.5
1,GA,13640,14990.8
2,GA,12025,14021.9
3,GA,10555,12250.5
4,GA,10105,10735.5
5,GA,9620,10136.2
6,GA,9360,9738.3
7,GA,9290,9621.2
8,GA,9060,9408.9
9,GA,8795,9220.7
10,GA,8595,8998.2
11,GA,8570,8854.3
12,GA,8520,8702.0
13,GA,8410,8641.1
14,GA,8330,8561.5
15,GA,8290,8504.7
16,GA,8245,8426.9
17,GA,8170,8371.9
18,GA,7900,8300.1
19,GA,7900,8208.4
20,GA,7810,8083.2
21,GA,7680,7942.9
22,GA,7620,7873.0
23,GA,7570,7800.3
24,GA,7570,7769.7
25,GA,7520,7733.2
26,GA,7380,7671.9
27,GA,7270,7558.1
28,GA,7260,7469.0
29,GA,7240,7444.2
30,GA,7110,7392.9
31,GA,7050,7320.3
32,GA,7000,7248.3
33,GA,6925,7213.4
34,GA,6845,7166.8
35,GA,6795,7036.1
36,GA,6795,7004.9
37,GA,6795,7001.5
38,GA,6735,6943.1
39,GA,6685,6926.0
40,GA,6510,6858.4
41,GA,6480,6761.3
42,GA,6480,6638.3
43,GA,6430,6630.4
44,GA,6390,6585.2
45,GA,6270,6525.6
46,GA,6160,6471.8
47,GA,6160,6408.4
48,GA,6160,6355.2
49,GA,6135,6320.0
50,GA,6135,6305.5
51,GA,6135,6315.5
52,GA,6085,6308.0
53,GA,6085,6249.1
54,GA,6030,6207.2
55,GA,6030,6168.2
56,GA,5925,6109.2
57,GA,5885,6078.5
58,GA,5835,6010.7
59,GA,5795,5974.4
60,GA,5705,5953.9
61,GA,5705,5903.7
62,GA,5635,5865.2
63,GA,5565,5791.7
64,GA,5565,5729.7
65,GA,5505,5680.4
66,GA,5405,5611.7
67,GA,5405,5577.0
68,GA,5335,5516.3
69,GA,5245,5492.5
70,GA,5225,5424.8
71,GA,5225,5366.3
72,GA,5225,5352.8
73,GA,5225,5362.3
74,GA,5225,5393.1
75,GA,5225,5346.4
76,GA,5175,5325.2
77,GA,5145,5307.8
78,GA,5095,5293.7
79,GA,4975,5240.8
80,GA,4975,5168.6
81,GA,4925,5116.0
82,GA,4895,5078.7
83,GA,4895,5028.2
84,GA,4885,4979.2
85,GA,4875,4998.6
86,GA,4875,4972.7
87,GA,4875,4975.8
88,GA,4775,4968.0
89,GA,4775,4934.2
90,GA,4755,4900.1
91,GA,4655,4859.9
92,GA,4655,4806.1
93,GA,4655,4761.2
94,GA,4595,4797.9
95,GA,4565,4737.9
96,GA,4555,4713.2
97,GA,4555,4660.8
98,GA,4495,4662.7
99,GA,4485,4622.5
100,GA,4435,4609.9
101,GA,4435,4609.2
102,GA,4365,4565.7
103,GA,4335,4520.0
104,GA,4330,4464.5
105,GA,4325,4431.3
106,GA,4325,4415.9
107,GA,4315,4415.1
108,GA,4315,4420.0
109,GA,4315,4423.9
110,GA,4255,4413.9
111,GA,4255,4405.8
112,GA,4255,4402.3
113,GA,4240,4375.5
114,GA,4240,4349.9
115,GA,4225,4339.4
116,GA,4220,4340.3
117,GA,4220,4331.7
118,GA,4220,4334.7
119,GA,4210,4323.5
120,GA,4210,4306.2
121,GA,4210,4291.0
122,GA,4205,4288.0
123,GA,4205,4280.3
124,GA,4185,4278.1
125,GA,4185,4286.6
126,GA,4185,4257.2
127,GA,4185,4286.5
128,GA,4185,4235.5
129,GA,4180,4270.8
130,GA,4160,4271.9
131,GA,4125,4251.1
132,GA,4080,4216.6
133,GA,4080,4209.9
134,GA,4020,4183.8
135,GA,4020,4147.6
136,GA,4015,4112.5
137,GA,4000,4093.5
138,GA,4000,4087.1
139,GA,3985,4094.7
140,GA,3980,4069.9
141,GA,3915,4065.4
142,GA,3900,4046.7
143,GA,3815,3967.0
144,GA,3795,3963.7
145,GA,3790,3911.6
146,GA,3790,3868.4
147,GA,3790,3865.2
148,GA,3785,3874.6
149,GA,3770,3857.4
150,GA,3765,3849.5
151,GA,3765,3844.7
152,GA,3765,3840.2
153,GA,3765,3824.6
154,GA,3765,3836.5
155,GA,3745,3821.4
156,GA,3745,3817.6
157,GA,3745,3816.8
158,GA,3665,3825.5
159,GA,3665,3798.5
160,GA,3645,3769.8
161,GA,3645,3733.0
162,GA,3640,3747.3
163,GA,3565,3713.0
164,GA,3565,3686.4
165,GA,3560,3672.7
166,GA,3560,3637.4
167,GA,3560,3632.5
168,GA,3560,3641.1
169,GA,3545,3621.3
170,GA,3540,3644.8
171,GA,3515,3614.0
172,GA,3510,3608.0
173,GA,3510,3606.5
174,GA,3490,3593.3
175,GA,3490,3564.5
176,GA,3470,3571.3
177,GA,3470,3558.2
178,GA,3470,3557.5
179,GA,3460,3510.9
180,GA,3460,3550.0
181,GA,3460,3535.7
182,GA,3440,3534.3
183,GA,3440,3522.2
184,GA,3420,3535.1
185,GA,3420,3501.4
186,GA,3415,3495.8
187,GA,3410,3494.5
188,GA,3410,3478.6
189,GA,3405,3494.8
190,GA,3400,3483.1
191,GA,3380,3480.8
192,GA,3380,3471.2
193,GA,3360,3441.8
194,GA,3340,3438.2
195,GA,3340,3419.5
196,GA,3335,3413.6
197,GA,3335,3391.3
198,GA,3335,3408.2
199,GA,3330,3402.2
200,GA,3305,3408.0
201,GA,3305,3394.3
202,GA,3300,3373.6
203,GA,3300,3374.6
204,GA,3300,3362.3
205,GA,3295,3365.3
206,GA,3290,3368.6
207,GA,3285,3389.6
208,GA,3265,3380.4
209,GA,3265,3373.1
210,GA,3265,3351.7
211,GA,3260,3346.0
212,GA,3260,3339.4
213,GA,3260,3336.2
214,GA,3255,3335.4
215,GA,3230,3323.6
216,GA,3225,3327.8
217,GA,3225,3305.5
218,GA,3225,3282.9
219,GA,3225,3296.6
220,GA,3220,3281.6
221,GA,3220,3311.6
222,GA,3210,3294.4
223,GA,3200,3277.4
224,GA,3200,3289.0
225,GA,3195,3278.3
226,GA,3195,3274.7
227,GA,3190,3270.8
228,GA,3190,3266.6
229,GA,3160,3258.8
230,GA,3160,3243.4
231,GA,3140,3244.1
232,GA,3135,3231.6
233,GA,3120,3223.5
234,GA,3120,3203.8
235,GA,3115,3192.6
236,GA,3115,3181.2
237,GA,3115,3179.2
238,GA,3115,3162.8
239,GA,3105,3187.2
240,GA,3105,3180.8
241,GA,3105,3186.8
242,GA,3105,3176.8
243,GA,3105,3190.0
244,GA,3105,3171.7
245,GA,3085,3178.9
246,GA,3085,3177.5
247,GA,3065,3148.5
248,GA,3065,3159.0
249,GA,3045,3138.9
250,GA,3045,3124.8
251,GA,3035,3132.2
252,GA,3025,3110.7
253,GA,3025,3083.9
254,GA,3025,3089.0
255,GA,3015,3084.2
256,GA,3005,3082.5
257,GA,2995,3093.8
258,GA,2980,3076.3
259,GA,2980,3076.4
260,GA,2980,3057.6
261,GA,2980,3064.7
262,GA,2980,3045.7
263,GA,2980,3035.3
264,GA,2980,3061.4
265,GA,2980,3032.5
266,GA,2960,3044.7
267,GA,2955,3059.2
268,GA,2955,3039.7
269,GA,2955,3021.1
270,GA,2940,3024.2
271,GA,2935,3024.6
272,GA,2935,3004.8
273,GA,2920,3009.1
274,GA,2915,3002.0
275,GA,2915,3005.2
276,GA,2895,2992.1
277,GA,2895,2957.7
278,GA,2875,2955.4
279,GA,2875,2947.8
280,GA,2875,2937.9
281,GA,2875,2941.2
282,GA,2875,2954.3
283,GA,2865,2945.2
284,GA,2865,2942.0
285,GA,2865,2919.9
286,GA,2865,2938.2
287,GA,2865,2924.4
288,GA,2865,2932.5
289,GA,2860,2924.5
290,GA,2855,2938.9
291,GA,2850,2950.6
292,GA,2845,2942.3
293,GA,2840,2934.3
294,GA,2840,2927.6
295,GA,2840,2918.2
296,GA,2835,2937.4
297,GA,2835,2908.0
298,GA,2835,2901.0
299,GA,2835,2892.0
300,GA,2805,2896.8
301,GA,2805,2886.9
302,GA,2785,2884.1
303,GA,2785,2887.9
304,GA,2785,2865.9
305,GA,2775,2850.3
306,GA,2775,2839.9
307,GA,2755,2852.8
308,GA,2755,2843.9
309,GA,2755,2839.0
310,GA,2755,2825.1
311,GA,2755,2823.2
312,GA,2755,2850.1
313,GA,2755,2831.1
314,GA,2745,2827.9
315,GA,2745,2825.5
316,GA,2745,2818.5
317,GA,2740,2815.9
318,GA,2740,2820.8
319,GA,2735,2821.6
320,GA,2735,2821.7
321,GA,2735,2787.5
322,GA,2735,2784.2
323,GA,2735,2794.9
324,GA,2735,2815.6
325,GA,2735,2797.7
326,GA,2735,2797.4
327,GA,2735,2803.0
328,GA,2735,2817.3
329,GA,2735,2801.8
330,GA,2735,2820.7
331,GA,2735,2829.8
332,GA,2730,2803.4
333,GA,2725,2804.2
334,GA,2725,2824.1
335,GA,2720,2810.1
336,GA,2705,2789.3
337,GA,2705,2802.2
338,GA,2705,2782.0
339,GA,2705,2770.8
340,GA,2705,2781.1
341,GA,2705,2796.2
