iterasi,method,best,avg
0,GA,15210,17686.5
1,GA,12895,14431.1
2,GA,11405,12378.8
3,GA,10835,11570.9
4,GA,10165,10957.8
5,GA,9810,10234.4
6,GA,9660,9911.6
7,GA,9335,9746.3
8,GA,9240,9488.4
9,GA,9080,9311.3
10,GA,8970,9251.0
11,GA,8855,9133.2
12,GA,8785,9084.5
13,GA,8655,8967.0
14,GA,8510,8856.5
15,GA,8305,8688.1
16,GA,8225,8552.1
17,GA,8190,8434.0
18,GA,8170,8356.8
19,GA,7980,8293.6
20,GWO,7940,8319.1
20,GWO,7940,8343.9
20,GWO,7940,8370.9
20,GWO,7940,8396.8
20,GWO,7940,8409.8
20,GWO,7940,8435.7
20,GWO,7940,8445.2
20,GWO,7940,8464.1
20,GWO,7940,8465.9
20,GWO,7940,8492.6
20,GWO,7940,8490.1
20,GWO,7940,8501.6
20,GWO,7940,8514.1
20,GWO,7940,8497.0
20,GWO,7940,8498.9
20,GWO,7940,8502.6
20,GWO,7940,8526.6
20,GWO,7940,8547.0
20,GWO,7940,8546.6
20,GWO,7940,8550.0
20,GA,7940,8550.0
21,GA,7875,8263.4
22,GA,7705,8101.9
23,GA,7695,7935.0
24,GA,7665,7861.2
25,GA,7545,7842.6
26,GA,7495,7777.2
27,GA,7405,7672.0
28,GA,7210,7544.8
29,GA,7140,7378.9
30,GA,7120,7339.1
31,GA,7105,7298.9
32,GA,6945,7286.9
33,GA,6885,7173.0
34,GA,6815,7085.4
35,GA,6775,6991.8
36,GA,6695,6927.2
37,GA,6615,6834.6
38,GA,6580,6769.3
39,GA,6425,6691.6
40,GWO,6455,6688.1
40,GWO,6455,6721.6
40,GWO,6455,6747.4
40,GWO,6455,6766.6
40,GWO,6455,6779.9
40,GWO,6455,6818.8
40,GWO,6455,6842.1
40,GWO,6455,6842.6
40,GWO,6455,6851.3
40,GWO,6455,6873.6
40,GWO,6455,6890.2
40,GWO,6455,6898.8
40,GWO,6445,6909.0
40,GWO,6445,6936.4
40,GWO,6445,6943.5
40,GWO,6445,6965.1
40,GWO,6445,6979.1
40,GWO,6445,6992.3
40,GWO,6445,7004.9
40,GWO,6445,7019.0
40,GA,6425,7019.0
41,GA,6425,6727.5
42,GA,6180,6636.4
43,GA,6155,6479.3
44,GA,6095,6299.2
45,GA,6050,6242.7
46,GA,6045,6220.4
47,GA,5930,6169.3
48,GA,5845,6079.1
49,GA,5705,5989.1
50,GA,5695,5947.3
51,GA,5645,5856.3
52,GA,5645,5766.0
53,GA,5585,5743.6
54,GA,5485,5681.7
55,GA,5445,5630.5
56,GA,5385,5598.7
57,GA,5375,5511.5
58,GA,5205,5450.1
59,GA,5155,5365.8
60,GWO,5045,5277.9
60,GWO,5045,5335.2
60,GWO,5045,5357.6
60,GWO,5045,5394.1
60,GWO,5045,5420.4
60,GWO,5045,5427.6
60,GWO,5045,5454.5
60,GWO,5045,5481.8
60,GWO,5010,5500.7
60,GWO,5010,5519.7
60,GWO,5010,5527.8
60,GWO,5010,5556.8
60,GWO,5010,5560.7
60,GWO,5010,5571.5
60,GWO,5010,5600.9
60,GWO,5010,5627.0
60,GWO,5010,5648.3
60,GWO,5010,5651.2
60,GWO,5010,5642.9
60,GWO,5010,5653.1
60,GA,5010,5653.1
61,GA,4995,5221.5
62,GA,4985,5112.1
63,GA,4945,5076.2
64,GA,4945,5082.2
65,GA,4905,5048.0
66,GA,4865,5034.9
67,GA,4745,4978.4
68,GA,4745,4898.3
69,GA,4725,4848.5
70,GA,4715,4825.5
71,GA,4705,4799.1
72,GA,4645,4812.4
73,GA,4645,4787.2
74,GA,4645,4722.9
75,GA,4545,4734.0
76,GA,4545,4691.4
77,GA,4450,4638.8
78,GA,4450,4614.0
79,GA,4445,4538.1
80,GWO,4440,4561.8
80,GWO,4415,4598.9
80,GWO,4415,4628.4
80,GWO,4415,4672.6
80,GWO,4415,4708.4
80,GWO,4415,4729.2
80,GWO,4415,4743.6
80,GWO,4415,4765.5
80,GWO,4415,4792.3
80,GWO,4415,4813.6
80,GWO,4415,4826.2
80,GWO,4415,4833.6
80,GWO,4415,4858.0
80,GWO,4415,4881.8
80,GWO,4415,4903.0
