iterasi,method,best,avg
0,GA,15475,16193.6
1,GA,13275,13874.8
2,GA,11730,12319.6
3,GA,10895,11540.4
4,GA,10565,10889.2
5,GA,10205,10560.4
6,GA,10075,10263.4
7,GA,9785,10071.2
8,GA,9610,9927.8
9,GA,9515,9778.6
10,GA,9375,9621.6
11,GA,9345,9578.2
12,GA,9145,9426.8
13,GA,9055,9268.4
14,GA,8980,9162.6
15,GA,8900,9091.0
16,GA,8835,9016.8
17,GA,8735,8909.6
18,GA,8645,8838.8
19,GA,8605,8754.8
20,GWO,8495,8716.2
20,GWO,8495,8770.8
20,GWO,8495,8780.8
20,GWO,8495,8841.6
20,GWO,8495,8817.2
20,GWO,8495,8818.0
20,GWO,8495,8838.2
20,GWO,8495,8843.8
20,GWO,8495,8872.0
20,GWO,8495,8846.6
20,GWO,8495,8864.8
20,GWO,8495,8858.8
20,GWO,8495,8862.8
20,GWO,8495,8885.2
20,GWO,8420,8884.2
20,GWO,8310,8885.8
20,GWO,8310,8880.4
20,GWO,8310,8903.8
20,GWO,8310,8915.2
20,GWO,8310,8912.8
20,GA,8310,8912.8
21,GA,8270,8496.4
22,GA,8270,8426.2
23,GA,8270,8440.0
24,GA,8220,8368.6
25,GA,8100,8323.2
26,GA,7990,8230.2
27,GA,7940,8085.2
28,GA,7865,8054.2
29,GA,7770,7919.0
30,GA,7705,7895.2
31,GA,7625,7822.4
32,GA,7625,7742.4
33,GA,7625,7774.4
34,GA,7625,7772.2
35,GA,7625,7768.0
36,GA,7615,7750.6
37,GA,7520,7677.2
38,GA,7510,7686.2
39,GA,7480,7623.6
40,GWO,7360,7593.2
40,GWO,7360,7631.8
40,GWO,7360,7659.2
40,GWO,7360,7666.4
40,GWO,7360,7696.4
40,GWO,7360,7695.2
40,GWO,7360,7708.0
40,GWO,7360,7718.6
40,GWO,7360,7746.4
40,GWO,7360,7773.4
40,GWO,7360,7778.4
40,GWO,7360,7759.0
40,GWO,7360,7771.2
40,GWO,7360,7842.8
40,GWO,7360,7856.6
40,GWO,7360,7865.0
40,GWO,7360,7876.6
40,GWO,7360,7889.4
40,GWO,7360,7902.6
40,GWO,7360,7928.6
40,GA,7360,7928.6
41,GA,7300,7516.0
42,GA,7285,7402.2
43,GA,7285,7404.0
