iterasi,method,best,avg
0,GA,16375,18047.6
1,GA,13880,15271.2
2,GA,11850,13315.6
3,GA,11340,12206.6
4,GA,10860,11616.4
5,GA,10380,10799.6
6,GA,9810,10391.4
7,GA,9780,10108.8
8,GA,9635,9919.4
9,GA,9525,9789.6
10,GA,9475,9733.2
11,GA,9475,9689.6
12,GA,9460,9642.8
13,GA,9380,9617.6
14,GA,9220,9551.2
15,GA,9190,9401.0
16,GA,9145,9404.8
17,GA,9095,9343.0
18,GA,9095,9318.6
19,GA,9040,9290.2
20,GWO,8940,9214.2
20,GWO,8940,9201.4
20,GWO,8940,9184.8
20,GWO,8910,9164.0
20,GWO,8910,9156.2
20,GWO,8910,9139.4
20,GWO,8910,9121.8
20,GWO,8900,9114.4
20,GWO,8860,9106.0
20,GWO,8860,9101.0
20,GWO,8860,9093.8
20,GWO,8860,9073.2
20,GWO,8860,9062.8
20,GWO,8860,9055.6
20,GWO,8860,9050.2
20,GWO,8860,9043.8
20,GWO,8860,9038.0
20,GWO,8810,9018.0
20,GWO,8735,9000.4
20,GWO,8735,8993.6
20,GA,8735,8993.6
21,GA,8735,9147.4
22,GA,8680,8966.4
23,GA,8650,8903.2
24,GA,8605,8780.6
25,GA,8605,8794.0
26,GA,8510,8737.2
27,GA,8510,8734.2
28,GA,8510,8722.4
29,GA,8510,8720.4
30,GA,8400,8662.6
31,GA,8275,8622.2
32,GA,8250,8530.6
33,GA,8100,8409.0
34,GA,8100,8387.0
35,GA,8100,8321.0
36,GA,8100,8350.4
37,GA,8045,8287.6
38,GA,8025,8226.6
39,GA,7805,8179.2
40,GWO,7885,8109.0
40,GWO,7885,8097.4
40,GWO,7885,8084.0
40,GWO,7865,8068.6
40,GWO,7865,8066.2
40,GWO,7865,8060.6
40,GWO,7825,8052.2
40,GWO,7825,8051.2
40,GWO,7825,8035.6
40,GWO,7790,8025.8
40,GWO,7790,8022.6
40,GWO,7790,8018.6
40,GWO,7790,8015.2
40,GWO,7790,8014.2
40,GWO,7790,8006.6
40,GWO,7790,7994.8
40,GWO,7790,7991.4
40,GWO,7775,7982.6
40,GWO,7775,7982.0
40,GWO,7775,7977.2
40,GA,7775,7977.2
41,GA,7685,7987.0
42,GA,7685,7908.6
43,GA,7685,7898.8
44,GA,7685,7891.8
45,GA,7625,7863.6
46,GA,7510,7832.0
47,GA,7310,7769.8
48,GA,7290,7520.6
49,GA,7270,7493.8
50,GA,7250,7534.2
51,GA,7240,7463.6
52,GA,7185,7403.6
53,GA,7175,7369.4
54,GA,7060,7363.2
55,GA,7060,7337.2
56,GA,7060,7263.6
57,GA,7060,7277.4
58,GA,7060,7291.6
59,GA,6975,7287.6
60,GWO,6995,7151.8
60,GWO,6975,7125.2
60,GWO,6975,7117.0
60,GWO,6950,7101.2
60,GWO,6950,7088.0
60,GWO,6950,7086.2
60,GWO,6950,7080.4
