iterasi,method,best,avg
0,GA,17070,20630.05
1,GA,15870,18545.4
2,GA,15675,16564.6
3,GA,15480,15798.95
4,GA,15240,15635.2
5,GA,15240,15439.95
6,GA,15150,15260.15
7,GA,15065,15191.9
8,GA,14975,15101.1
9,GA,14805,15002.6
10,GA,14645,14866.95
11,GA,14565,14755.55
12,GA,14485,14630.25
13,GA,14335,14515.85
14,GA,14235,14401.35
15,GA,14145,14323.0
16,GA,14065,14239.8
17,GA,13955,14111.4
18,GA,13820,14012.2
19,GA,13740,13912.55
20,GA,13640,13817.8
21,GA,13570,13709.35
22,GA,13410,13614.1
23,GA,13315,13514.35
24,GA,13205,13384.75
25,GA,13085,13264.1
26,GA,13005,13150.3
27,GA,12885,13068.4
28,GA,12765,12959.05
29,GA,12645,12860.1
30,GA,12535,12739.1
31,GA,12395,12621.3
32,GA,12305,12508.7
33,GA,12175,12395.9
34,GA,12165,12286.25
35,GA,12065,12192.95
36,GA,12005,12128.25
37,GA,11915,12037.4
38,GA,11835,11951.7
39,GA,11755,11861.7
40,GA,11595,11796.5
41,GA,11425,11672.6
42,GA,11335,11534.2
43,GA,11245,11410.5
44,GA,11175,11296.3
45,GA,11085,11226.4
46,GA,10995,11144.15
47,GA,10935,11070.85
48,GA,10815,10980.15
49,GA,10715,10891.45
50,GA,10625,10773.05
51,GA,10515,10664.8
52,GA,10465,10608.7
53,GA,10415,10520.6
54,GA,10335,10468.15
55,GA,10265,10370.4
56,GA,10180,10310.05
57,GA,10105,10253.1
58,GA,10015,10167.6
59,GA,10000,10101.05
60,GA,9920,10035.85
61,GA,9860,9984.85
62,GA,9740,9920.85
63,GA,9720,9853.95
64,GA,9620,9751.4
65,GA,9550,9697.85
66,GA,9540,9616.2
67,GA,9480,9565.7
68,GA,9450,9545.25
69,GA,9450,9498.4
70,GA,9380,9475.75
71,GA,9300,9448.9
72,GA,9300,9387.65
73,GA,9220,9325.9
74,GA,9210,9278.25
75,GA,9210,9242.55
76,GA,9190,9230.05
77,GA,9070,9224.3
78,GA,9060,9164.2
79,GA,8980,9091.3
80,GA,8970,9077.05
81,GA,8960,9004.55
82,GA,8900,8984.2
83,GA,8880,8963.95
84,GA,8800,8914.3
85,GA,8760,8892.7
86,GA,8730,8805.1
87,GA,8730,8783.5
88,GA,8730,8755.7
89,GA,8700,8756.7
90,GA,8690,8741.75
91,GA,8610,8721.7
92,GA,8600,8693.5
93,GA,8580,8619.65
94,GA,8510,8613.1
95,GA,8480,8583.25
96,GA,8480,8528.4
97,GA,8390,8506.45
98,GA,8370,8476.45
99,GA,8360,8410.35
100,GA,8360,8394.6
101,GA,8340,8389.4
102,GA,8340,8378.85
103,GA,8310,8364.3
104,GA,8270,8354.95
105,GA,8240,8331.35
106,GA,8170,8273.8
107,GA,8150,8225.55
108,GA,8150,8189.45
109,GA,8130,8175.05
110,GA,8130,8169.55
111,GA,8110,8157.7
112,GA,8110,8144.5
113,GA,8110,8130.6
114,GA,8110,8138.85
115,GA,8080,8135.85
116,GA,8080,8126.2
117,GA,8070,8100.05
118,GA,7980,8094.65
119,GA,7960,8075.25
120,GA,7950,7994.6
121,GA,7950,7976.0
122,GA,7950,7972.45
123,GA,7930,7981.8
124,GA,7930,7975.95
125,GA,7930,7956.1
126,GA,7930,7958.2
127,GA,7930,7960.6
128,GA,7910,7962.25
129,GA,7910,7952.8
130,GA,7910,7938.4
131,GA,7900,7925.0
132,GA,7900,7927.6
133,GA,7900,7929.4
134,GA,7900,7929.0
135,GA,7900,7923.0
136,GA,7900,7935.7
137,GA,7880,7923.9
138,GA,7880,7927.85
139,GA,7880,7916.75
140,GA,7880,7901.0
141,GA,7870,7908.45
142,GA,7870,7908.9
143,GA,7870,7898.05
144,GA,7870,7891.65
145,GA,7870,7892.65
146,GA,7870,7898.2
147,GA,7870,7894.75
148,GA,7870,7894.2
149,GA,7860,7893.55
150,GA,7860,7890.65
151,GA,7860,7884.35
152,GA,7860,7879.5
153,GA,7860,7890.1
154,GA,7860,7888.4
155,GA,7860,7881.95
156,GA,7840,7884.3
157,GA,7840,7874.55
158,GA,7840,7864.0
159,GA,7840,7863.05
160,GA,7840,7860.55
161,GA,7840,7860.4
162,GA,7830,7873.95
163,GA,7810,7868.6
164,GA,7810,7852.4
165,GA,7790,7827.4
166,GA,7790,7824.1
167,GA,7790,7814.15
168,GA,7790,7812.45
169,GA,7780,7819.0
170,GA,7780,7819.3
171,GA,7780,7805.0
172,GA,7780,7809.85
173,GA,7780,7800.4
174,GA,7770,7808.8
175,GA,7770,7803.3
176,GA,7670,7794.8
177,GA,7670,7765.35
178,GA,7670,7702.5
179,GA,7670,7700.5
180,GA,7640,7691.75
181,GA,7640,7690.95
182,GA,7640,7666.95
183,GA,7640,7670.0
184,GA,7640,7670.8
185,GA,7640,7673.4
186,GA,7640,7672.55
187,GA,7620,7669.7
188,GA,7620,7659.4
189,GA,7620,7644.3
190,GA,7620,7649.05
191,GA,7620,7648.35
192,GA,7620,7652.9
193,GA,7620,7651.95
194,GA,7620,7640.0
195,GA,7620,7653.05
196,GA,7605,7646.85
197,GA,7590,7648.65
198,GA,7585,7630.15
199,GA,7585,7614.25
200,GA,7585,7618.1
201,GA,7585,7615.65
202,GA,7585,7606.0
203,GA,7585,7609.9
204,GA,7565,7609.1
205,GA,7565,7609.1
206,GA,7565,7592.0
207,GA,7565,7594.45
208,GA,7565,7589.75
209,GA,7565,7595.65
210,GA,7565,7593.65
