iterasi,method,best,avg
0,GA,18170,20985.65
1,GA,17410,19263.4
2,GA,17265,17993.875
3,GA,16310,17418.325
4,GA,16220,17119.25
5,GA,16150,16358.925
6,GA,15990,16226.675
7,GA,15880,16110.275
8,GA,15700,15979.175
9,GA,15620,15861.95
10,GA,15470,15690.6
11,GA,15290,15552.15
12,GA,15140,15398.625
13,GA,15030,15233.9
14,GA,14950,15081.025
15,GA,14770,14983.3
16,GA,14620,14870.725
17,GA,14450,14717.425
18,GA,14330,14568.075
19,GA,14080,14417.6
20,GA,14000,14185.15
21,GA,13910,14063.825
22,GA,13810,13968.5
23,GA,13630,13870.075
24,GA,13480,13737.1
25,GA,13300,13583.825
26,GA,13120,13411.675
27,GA,13000,13216.475
28,GA,12810,13090.375
29,GA,12750,12961.075
30,GA,12650,12843.675
31,GA,12530,12742.675
32,GA,12420,12633.175
33,GA,12310,12511.475
34,GA,12125,12381.325
35,GA,12010,12231.625
36,GA,11885,12131.325
37,GA,11770,12024.175
38,GA,11670,11919.525
39,GA,11595,11790.875
40,GA,11490,11671.6
41,GA,11370,11569.55
42,GA,11330,11473.45
43,GA,11230,11387.35
44,GA,11060,11321.1
45,GA,10980,11242.325
46,GA,10890,11108.875
47,GA,10890,11015.375
48,GA,10800,10922.15
49,GA,10720,10845.825
50,GA,10610,10762.375
51,GA,10530,10707.75
52,GA,10490,10623.775
53,GA,10440,10561.275
54,GA,10360,10494.8
55,GA,10280,10432.8
56,GA,10210,10365.675
57,GA,10180,10307.125
58,GA,10100,10228.3
59,GA,9960,10169.25
60,GA,9840,10067.175
61,GA,9840,9969.35
62,GA,9760,9880.5
63,GA,9690,9848.725
64,GA,9680,9780.375
65,GA,9600,9726.4
66,GA,9580,9678.425
67,GA,9570,9627.7
68,GA,9520,9612.35
69,GA,9500,9594.7
70,GA,9490,9559.175
71,GA,9470,9532.125
72,GA,9380,9513.275
73,GA,9360,9475.9
74,GA,9350,9413.575
75,GA,9320,9381.05
76,GA,9310,9370.55
77,GA,9310,9345.0
78,GA,9300,9337.95
79,GA,9290,9336.775
80,GA,9280,9331.25
81,GA,9260,9313.15
