iterasi,method,best,avg
0,GA,18370,21181.0
1,GA,18370,19680.8
2,GA,18285,18594.8
3,GA,18205,18346.8
4,GA,18120,18258.1
5,GA,18035,18176.6
6,GA,17940,18080.6
7,GA,17840,17988.2
8,GA,17795,17901.0
9,GA,17675,17828.2
10,GA,17575,17744.2
11,GA,17420,17605.7
12,GA,17330,17505.5
13,GA,17250,17406.3
14,GA,17145,17317.2
15,GA,17090,17212.5
16,GA,16885,17135.9
17,GA,16815,17037.7
18,GA,16800,16922.3
19,GA,16560,16839.3
20,GA,16560,16751.4
21,GA,16470,16605.1
22,GA,16380,16535.6
23,GA,16290,16445.2
24,GA,16210,16362.0
25,GA,16130,16281.9
26,GA,16050,16176.1
27,GA,15970,16103.8
28,GA,15950,16046.5
29,GA,15860,15986.1
30,GA,15780,15903.6
31,GA,15700,15836.1
32,GA,15700,15782.6
33,GA,15610,15717.9
34,GA,15470,15655.5
35,GA,15380,15561.5
36,GA,15210,15454.5
37,GA,15210,15325.7
38,GA,15060,15254.4
39,GA,15015,15153.6
40,GA,14940,15063.8
41,GA,14780,15009.6
42,GA,14750,14911.8
43,GA,14670,14804.9
44,GA,14540,14723.7
45,GA,14460,14628.4
46,GA,14350,14539.1
47,GA,14240,14425.4
48,GA,14170,14299.3
49,GA,14090,14213.6
50,GA,14000,14187.0
51,GA,13930,14094.2
52,GA,13920,14009.8
53,GA,13840,13964.0
54,GA,13820,13927.2
55,GA,13740,13854.3
56,GA,13660,13781.4
57,GA,13655,13731.8
58,GA,13450,13682.9
59,GA,13445,13623.6
60,GA,13355,13502.1
61,GA,13235,13393.2
62,GA,13185,13306.3
63,GA,13105,13237.6
64,GA,13075,13178.0
65,GA,13005,13111.9
66,GA,12845,13063.7
67,GA,12775,12965.2
68,GA,12675,12846.8
69,GA,12675,12760.0
70,GA,12595,12692.5
71,GA,12595,12675.6
72,GA,12495,12619.3
73,GA,12415,12584.4
74,GA,12415,12505.6
75,GA,12285,12439.9
76,GA,12175,12409.8
77,GA,12175,12292.5
78,GA,12145,12221.5
79,GA,12055,12182.2
80,GA,11985,12126.0
81,GA,11875,12045.2
82,GA,11805,11985.0
83,GA,11785,11893.2
