iterasi,method,best,avg
0,GA,16120,17621.8
1,GA,13230,14906.9
2,GA,11720,13191.2
3,GA,11000,12197.4
4,GA,10430,11041.6
5,GA,9795,10459.7
6,GA,9520,10057.8
7,GA,9370,9707.4
8,GA,9160,9505.4
9,GA,9015,9352.5
10,GA,8925,9245.9
11,GA,8755,9025.0
12,GA,8665,8938.2
13,GA,8650,8896.2
14,GA,8570,8800.7
15,GA,8500,8756.2
16,GA,8500,8711.3
17,GA,8490,8662.2
18,GA,8445,8663.5
19,GA,8385,8627.0
20,GWO,8270,8519.1
20,GWO,8270,8506.8
20,GWO,8270,8490.3
20,GWO,8220,8479.8
20,GWO,8220,8472.1
20,GWO,8220,8464.4
20,GWO,8220,8457.4
20,GWO,8165,8448.6
20,GWO,8165,8441.9
20,GWO,8165,8437.0
20,GWO,8165,8433.9
20,GWO,8165,8430.6
20,GWO,8165,8424.6
20,GWO,8165,8420.9
20,GWO,8165,8411.8
20,GWO,8165,8409.8
20,GWO,8165,8404.6
20,GWO,8165,8403.0
20,GWO,8165,8401.4
20,GWO,8165,8395.8
20,GA,8165,8395.8
21,GA,8030,8346.6
22,GA,7885,8221.1
23,GA,7855,8116.9
24,GA,7820,8036.3
25,GA,7710,7967.4
26,GA,7710,7884.0
27,GA,7545,7850.5
28,GA,7545,7763.9
29,GA,7515,7753.0
30,GA,7495,7687.6
31,GA,7450,7641.9
32,GA,7280,7598.3
33,GA,7170,7495.8
34,GA,7085,7383.1
35,GA,7070,7252.8
36,GA,7000,7192.5
37,GA,6960,7166.5
38,GA,6775,7159.3
39,GA,6740,7011.6
40,GWO,6600,6859.7
40,GWO,6600,6841.8
40,GWO,6590,6829.9
40,GWO,6590,6818.8
40,GWO,6540,6805.9
40,GWO,6540,6794.4
40,GWO,6525,6788.0
40,GWO,6505,6777.0
40,GWO,6480,6768.0
40,GWO,6480,6760.9
40,GWO,6445,6758.1
40,GWO,6445,6750.2
40,GWO,6445,6742.2
40,GWO,6445,6738.4
40,GWO,6445,6731.8
40,GWO,6360,6727.0
40,GWO,6360,6721.3
40,GWO,6360,6715.7
40,GWO,6360,6710.5
40,GWO,6360,6706.0
40,GA,6360,6706.0
41,GA,6285,6614.8
42,GA,6255,6468.3
43,GA,6165,6397.1
44,GA,6165,6347.0
45,GA,6095,6282.3
46,GA,6065,6256.4
47,GA,6060,6232.8
48,GA,6025,6175.5
49,GA,5890,6137.8
50,GA,5795,6015.3
51,GA,5775,5941.7
52,GA,5770,5956.3
53,GA,5735,5904.5
54,GA,5735,5906.3
55,GA,5715,5888.5
56,GA,5665,5849.5
57,GA,5600,5784.5
58,GA,5600,5741.7
59,GA,5510,5699.7
60,GWO,5460,5662.5
60,GWO,5450,5653.0
60,GWO,5450,5636.4
60,GWO,5450,5630.6
60,GWO,5435,5624.0
60,GWO,5405,5617.5
60,GWO,5405,5610.7
60,GWO,5405,5607.3
60,GWO,5405,5597.7
60,GWO,5395,5592.9
60,GWO,5395,5585.7
60,GWO,5395,5584.2
60,GWO,5395,5582.1
60,GWO,5395,5577.7
60,GWO,5395,5568.4
60,GWO,5385,5563.6
60,GWO,5385,5560.4
60,GWO,5385,5556.0
60,GWO,5385,5553.3
60,GWO,5385,5552.6
60,GA,5385,5552.6
61,GA,5250,5521.9
62,GA,5245,5442.3
63,GA,5240,5400.6
64,GA,5190,5334.4
65,GA,5120,5292.1
66,GA,5090,5249.4
67,GA,5050,5175.1
68,GA,4940,5119.4
69,GA,4935,5089.2
70,GA,4880,5007.1
71,GA,4850,5018.2
72,GA,4820,4982.8
73,GA,4770,4947.5
74,GA,4735,4891.5
75,GA,4665,4861.3
76,GA,4620,4803.2
77,GA,4575,4739.5
78,GA,4555,4735.8
79,GA,4555,4686.6
80,GWO,4535,4636.5
80,GWO,4535,4630.8
80,GWO,4530,4628.0
80,GWO,4530,4621.7
80,GWO,4515,4617.3
80,GWO,4515,4613.4
80,GWO,4495,4610.5
80,GWO,4495,4609.7
80,GWO,4495,4606.6
80,GWO,4495,4603.8
80,GWO,4495,4602.4
80,GWO,4495,4597.6
80,GWO,4445,4591.9
80,GWO,4445,4591.0
80,GWO,4445,4589.4
80,GWO,4445,4586.6
80,GWO,4445,4584.2
80,GWO,4445,4582.9
80,GWO,4445,4581.6
80,GWO,4445,4577.8
80,GA,4445,4577.8
81,GA,4390,4557.3
82,GA,4345,4512.5
83,GA,4330,4455.8
84,GA,4305,4424.8
85,GA,4250,4407.7
86,GA,4235,4358.8
87,GA,4230,4329.9
88,GA,4225,4321.0
89,GA,4190,4301.8
90,GA,4170,4304.6
91,GA,4150,4260.8
92,GA,4030,4255.6
93,GA,3950,4202.6
94,GA,3930,4118.6
95,GA,3930,4062.8
96,GA,3930,4046.1
97,GA,3925,3998.5
98,GA,3925,3994.5
99,GA,3850,4026.9
100,GWO,3830,3963.5
100,GWO,3830,3960.1
100,GWO,3830,3955.2
100,GWO,3830,3952.6
100,GWO,3830,3949.4
100,GWO,3830,3948.9
100,GWO,3830,3948.4
100,GWO,3830,3948.4
100,GWO,3830,3947.7
100,GWO,3830,3945.5
100,GWO,3830,3944.7
100,GWO,3830,3944.4
100,GWO,3830,3943.0
100,GWO,3830,3939.2
100,GWO,3830,3938.8
100,GWO,3830,3938.7
100,GWO,3830,3935.7
100,GWO,3830,3935.7
100,GWO,3830,3933.9
100,GWO,3830,3933.2
100,GA,3830,3933.2
101,GA,3810,3935.0
102,GA,3810,3933.1
103,GA,3810,3920.1
104,GA,3810,3889.9
105,GA,3805,3902.9
106,GA,3805,3892.7
107,GA,3805,3891.2
108,GA,3785,3892.7
109,GA,3780,3872.9
110,GA,3775,3862.1
111,GA,3770,3846.4
112,GA,3760,3859.2
113,GA,3755,3845.0
114,GA,3755,3851.4
115,GA,3750,3836.2
116,GA,3735,3801.0
117,GA,3735,3816.0
118,GA,3720,3813.8
119,GA,3715,3804.3
120,GWO,3715,3772.3
120,GWO,3650,3765.9
120,GWO,3650,3761.3
120,GWO,3650,3758.5
120,GWO,3650,3758.5
120,GWO,3650,3757.2
120,GWO,3650,3754.7
120,GWO,3650,3754.3
120,GWO,3650,3752.2
120,GWO,3650,3751.6
120,GWO,3650,3751.4
120,GWO,3650,3751.0
120,GWO,3650,3750.8
120,GWO,3650,3749.5
120,GWO,3650,3748.4
120,GWO,3650,3747.7
120,GWO,3650,3747.7
120,GWO,3650,3747.7
120,GWO,3650,3747.0
120,GWO,3650,3746.7
120,GA,3650,3746.7
121,GA,3635,3749.9
122,GA,3635,3715.3
123,GA,3625,3725.3
124,GA,3625,3698.5
125,GA,3620,3698.8
126,GA,3605,3701.2
127,GA,3605,3683.2
128,GA,3600,3669.3
129,GA,3585,3664.7
130,GA,3585,3685.4
131,GA,3580,3652.7
132,GA,3555,3637.0
133,GA,3555,3656.6
134,GA,3555,3649.6
135,GA,3550,3656.8
136,GA,3550,3634.6
137,GA,3545,3608.7
138,GA,3545,3616.5
139,GA,3530,3604.7
140,GWO,3525,3607.6
140,GWO,3525,3607.0
140,GWO,3525,3606.8
140,GWO,3525,3604.7
140,GWO,3525,3598.8
140,GWO,3520,3597.8
140,GWO,3520,3593.9
140,GWO,3520,3591.2
140,GWO,3520,3590.4
140,GWO,3520,3588.5
140,GWO,3520,3587.2
140,GWO,3520,3585.4
140,GWO,3520,3584.7
140,GWO,3520,3584.2
140,GWO,3520,3582.8
140,GWO,3515,3582.3
140,GWO,3515,3581.8
140,GWO,3515,3580.9
140,GWO,3515,3580.1
140,GWO,3515,3580.1
140,GA,3515,3580.1
141,GA,3510,3598.5
142,GA,3510,3616.7
143,GA,3500,3612.0
144,GA,3500,3576.2
145,GA,3500,3576.6
146,GA,3480,3559.2
147,GA,3460,3570.7
148,GA,3460,3560.4
149,GA,3460,3541.8
150,GA,3460,3547.2
151,GA,3460,3529.6
152,GA,3460,3559.6
153,GA,3450,3540.2
154,GA,3450,3554.2
155,GA,3440,3529.7
156,GA,3440,3529.2
157,GA,3430,3506.0
158,GA,3420,3501.0
159,GA,3420,3503.3
160,GWO,3410,3487.6
160,GWO,3410,3485.1
160,GWO,3370,3478.6
160,GWO,3370,3476.8
160,GWO,3370,3474.6
160,GWO,3370,3471.8
160,GWO,3370,3467.8
160,GWO,3370,3467.4
160,GWO,3370,3467.4
160,GWO,3370,3467.2
160,GWO,3370,3466.0
160,GWO,3370,3466.0
160,GWO,3370,3465.0
160,GWO,3370,3464.9
160,GWO,3370,3463.9
160,GWO,3370,3462.2
160,GWO,3370,3462.2
160,GWO,3370,3462.2
160,GWO,3370,3462.2
160,GWO,3370,3459.9
160,GA,3370,3459.9
161,GA,3370,3487.8
162,GA,3370,3456.6
163,GA,3365,3440.1
164,GA,3350,3429.7
165,GA,3350,3438.3
166,GA,3350,3433.8
167,GA,3350,3436.0
168,GA,3345,3394.0
169,GA,3340,3423.8
170,GA,3325,3411.1
171,GA,3325,3414.6
172,GA,3320,3388.7
173,GA,3320,3398.0
174,GA,3305,3398.9
175,GA,3295,3391.0
176,GA,3295,3395.1
177,GA,3295,3388.4
178,GA,3295,3369.7
179,GA,3295,3380.7
180,GWO,3295,3369.5
180,GWO,3270,3364.6
180,GWO,3270,3361.0
180,GWO,3270,3356.2
180,GWO,3270,3353.9
180,GWO,3270,3353.9
180,GWO,3270,3351.3
180,GWO,3270,3348.8
180,GWO,3270,3346.9
180,GWO,3270,3346.7
180,GWO,3270,3345.7
180,GWO,3270,3345.1
180,GWO,3270,3343.9
180,GWO,3270,3343.6
180,GWO,3270,3341.8
180,GWO,3270,3340.0
180,GWO,3270,3339.8
180,GWO,3270,3339.8
180,GWO,3270,3339.3
180,GWO,3270,3336.7
180,GA,3270,3336.7
181,GA,3260,3352.9
182,GA,3260,3335.7
183,GA,3235,3323.9
184,GA,3210,3333.5
185,GA,3210,3358.9
186,GA,3205,3314.3
187,GA,3200,3293.8
188,GA,3200,3268.2
189,GA,3200,3273.2
190,GA,3180,3279.6
191,GA,3165,3257.6
192,GA,3130,3241.4
193,GA,3100,3223.6
194,GA,3100,3185.2
195,GA,3100,3174.4
196,GA,3095,3187.8
197,GA,3095,3174.6
198,GA,3095,3146.1
199,GA,3095,3184.3
200,GWO,3085,3152.6
200,GWO,3075,3147.4
200,GWO,3075,3143.5
200,GWO,3075,3139.4
200,GWO,3075,3139.4
200,GWO,3075,3138.8
200,GWO,3075,3136.2
200,GWO,3075,3136.0
200,GWO,3075,3135.6
200,GWO,3075,3135.6
200,GWO,3075,3135.6
200,GWO,3075,3135.0
200,GWO,3075,3134.3
200,GWO,3075,3133.7
200,GWO,3075,3133.7
200,GWO,3075,3133.3
200,GWO,3075,3133.3
200,GWO,3075,3131.1
200,GWO,3060,3130.2
200,GWO,3060,3130.2
200,GA,3060,3130.2
201,GA,3055,3140.3
202,GA,3050,3134.0
203,GA,3045,3128.9
204,GA,3040,3116.7
205,GA,3025,3102.9
206,GA,3025,3089.1
207,GA,3010,3094.5
208,GA,3010,3087.6
209,GA,3000,3096.9
210,GA,3000,3072.9
211,GA,2985,3061.8
212,GA,2985,3073.5
213,GA,2985,3059.0
214,GA,2980,3048.3
215,GA,2980,3039.1
216,GA,2970,3051.9
217,GA,2970,3039.9
218,GA,2965,3046.6
219,GA,2965,3017.4
220,GWO,2960,3015.1
220,GWO,2960,3014.5
220,GWO,2960,3010.9
220,GWO,2960,3009.5
220,GWO,2945,3007.1
220,GWO,2940,3003.2
220,GWO,2940,3003.2
220,GWO,2940,3002.8
220,GWO,2940,2998.9
220,GWO,2940,2996.5
220,GWO,2940,2996.4
220,GWO,2940,2996.4
220,GWO,2940,2996.4
220,GWO,2940,2996.4
220,GWO,2940,2996.1
220,GWO,2940,2995.9
220,GWO,2940,2995.9
220,GWO,2935,2995.7
220,GWO,2935,2995.1
220,GWO,2935,2995.1
220,GA,2935,2995.1
221,GA,2920,3005.0
222,GA,2920,2999.2
223,GA,2910,2983.5
224,GA,2905,2992.1
225,GA,2900,3001.6
226,GA,2880,2989.1
227,GA,2880,2948.1
228,GA,2875,2939.2
229,GA,2875,2972.7
230,GA,2875,2928.8
231,GA,2865,2940.9
232,GA,2865,2950.6
233,GA,2860,2949.6
234,GA,2845,2911.1
235,GA,2825,2940.1
236,GA,2825,2932.3
237,GA,2810,2931.2
238,GA,2810,2903.6
239,GA,2810,2909.2
240,GWO,2805,2875.4
240,GWO,2805,2870.6
240,GWO,2805,2868.2
240,GWO,2805,2866.4
240,GWO,2805,2864.8
240,GWO,2805,2864.4
240,GWO,2800,2862.3
240,GWO,2800,2862.3
240,GWO,2800,2862.2
