iterasi,method,best,avg
0,GA,16340,17562.2
1,GA,13540,15144.3
2,GA,11830,13475.8
3,GA,11105,12045.9
4,GA,10420,11133.8
5,GA,10040,10553.0
6,GA,9630,10049.8
7,GA,9225,9712.0
8,GA,9065,9419.6
9,GA,8790,9281.2
10,GA,8785,9125.4
11,GA,8645,8948.8
12,GA,8505,8761.4
13,GA,8430,8654.3
14,GA,8270,8528.4
15,GA,8210,8463.3
16,GA,8130,8386.0
17,GA,8040,8281.2
18,GA,8000,8220.0
19,GA,7930,8172.1
20,GA,7850,8127.9
21,GA,7650,8025.1
22,GA,7595,7885.1
23,GA,7525,7765.6
24,GA,7505,7692.0
25,GA,7315,7626.1
26,GA,7240,7485.6
27,GA,7175,7382.1
28,GA,7165,7333.0
29,GA,6995,7246.4
30,GA,6995,7181.2
31,GA,6995,7176.7
32,GA,6915,7159.5
33,GA,6810,7107.6
34,GA,6765,6989.9
35,GA,6600,6887.5
36,GA,6480,6713.0
37,GA,6360,6621.0
38,GA,6330,6552.1
39,GA,6165,6496.1
40,GA,6165,6423.8
41,GA,6115,6267.5
42,GA,5990,6223.7
43,GA,5950,6145.3
44,GA,5860,6066.2
45,GA,5860,6001.2
46,GA,5800,5966.2
47,GA,5770,5911.3
48,GA,5690,5880.3
49,GA,5645,5811.2
50,GA,5595,5770.2
51,GA,5510,5698.4
52,GA,5470,5623.3
53,GA,5460,5581.7
54,GA,5430,5571.2
55,GA,5410,5543.5
56,GA,5395,5508.6
57,GA,5250,5521.9
58,GA,5225,5434.2
59,GA,5145,5346.2
60,GA,5135,5300.6
61,GA,5095,5234.9
62,GA,5050,5197.1
63,GA,5030,5177.7
64,GA,4925,5128.7
65,GA,4885,5083.5
66,GA,4855,5006.8
67,GA,4805,4977.2
68,GA,4725,4906.5
69,GA,4695,4871.0
70,GA,4685,4795.7
71,GA,4635,4754.7
72,GA,4560,4704.5
73,GA,4540,4709.0
74,GA,4500,4651.1
75,GA,4410,4607.4
76,GA,4380,4529.2
77,GA,4355,4475.6
78,GA,4285,4448.5
79,GA,4250,4411.0
80,GA,4050,4329.6
81,GA,4050,4321.7
82,GA,4030,4245.8
83,GA,4015,4149.3
84,GA,3970,4104.4
85,GA,3935,4073.1
86,GA,3935,4038.8
87,GA,3935,4020.9
88,GA,3915,3998.9
89,GA,3905,4011.1
